Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
640.63226036173,1mM,0.001,2749.484771368517,2749.484771368517,0.0
644.5579470538784,1mM,0.001,2144.0792470321,2144.0792470321,0.0
648.4836337460266,1mM,0.001,1426.0591956595458,1426.0591956595458,0.0
652.409320438175,1mM,0.001,828.5754103525644,828.5754103525644,0.0
656.3350071303232,1mM,0.001,399.81889721515637,399.81889721515637,0.0
660.2606938224715,1mM,0.001,229.44932894440245,229.44932894440245,0.0
664.1863805146198,1mM,0.001,177.58233613168912,177.58233613168912,0.0
668.1120672067681,1mM,0.001,153.00671007045514,153.00671007045514,0.0
672.0377538989163,1mM,0.001,161.89475161843023,161.89475161843023,0.0
675.9634405910647,1mM,0.001,142.54762199035673,142.54762199035673,0.0
679.8891272832129,1mM,0.001,148.6073789818791,148.6073789818791,0.0
683.8148139753612,1mM,0.001,201.89583560347117,201.89583560347117,0.0
687.7405006675095,1mM,0.001,315.52002803917577,315.52002803917577,0.0
691.6661873596578,1mM,0.001,621.6197259454461,621.6197259454461,0.0
695.5918740518061,1mM,0.001,1057.2676839243543,1057.2676839243543,0.0
699.5175607439544,1mM,0.001,1510.1679391668447,1510.1679391668447,0.0
703.4432474361026,1mM,0.001,2011.8154953860353,2011.8154953860353,0.0
707.368934128251,1mM,0.001,2410.8617443040744,2410.8617443040744,0.0
711.2946208203992,1mM,0.001,2615.516045843312,2615.516045843312,0.0
715.2203075125475,1mM,0.001,2547.2824197322407,2547.2824197322407,0.0
719.1459942046959,1mM,0.001,2066.9170697369486,2066.9170697369486,0.0
723.0716808968441,1mM,0.001,1441.9578962532225,1441.9578962532225,0.0
726.9973675889925,1mM,0.001,922.4246011118063,922.4246011118063,0.0
730.9230542811407,1mM,0.001,616.150207815028,616.150207815028,0.0
734.848740973289,1mM,0.001,619.7530684520364,619.7530684520364,0.0
738.7744276654373,1mM,0.001,715.5103313983307,715.5103313983307,0.0
742.7001143575856,1mM,0.001,770.0100335659006,770.0100335659006,0.0
746.6258010497338,1mM,0.001,705.4257098137109,705.4257098137109,0.0
750.5514877418822,1mM,0.001,484.28913152486217,484.28913152486217,0.0
754.4771744340304,1mM,0.001,330.98472620011034,330.98472620011034,0.0
758.4028611261788,1mM,0.001,159.86763191029831,159.86763191029831,0.0
762.328547818327,1mM,0.001,82.97055977584861,82.97055977584861,0.0
766.2542345104753,1mM,0.001,149.7148870609366,149.7148870609366,0.0
770.1799212026236,1mM,0.001,109.4964472956146,109.4964472956146,0.0
774.1056078947719,1mM,0.001,180.38257140840523,180.38257140840523,0.0
778.0312945869201,1mM,0.001,216.80021121674096,216.80021121674096,0.0
781.9569812790685,1mM,0.001,214.3460430274586,214.3460430274586,0.0
785.8826679712167,1mM,0.001,366.0190287523938,366.0190287523938,0.0
789.808354663365,1mM,0.001,663.4695435042111,663.4695435042111,0.0
793.7340413555133,1mM,0.001,1078.680689980594,1078.680689980594,0.0
797.6597280476616,1mM,0.001,1534.3029617455659,1534.3029617455659,0.0
801.58541473981,1mM,0.001,2050.0641418039227,2050.0641418039227,0.0
805.5111014319582,1mM,0.001,2353.761564843901,2353.761564843901,0.0
809.4367881241064,1mM,0.001,2447.4806240225157,2447.4806240225157,0.0
813.3624748162548,1mM,0.001,2402.180285019662,2402.180285019662,0.0
817.288161508403,1mM,0.001,2216.265824479925,2216.265824479925,0.0
821.2138482005513,1mM,0.001,1939.264084923764,1939.264084923764,0.0
825.1395348926997,1mM,0.001,1567.9210849948226,1567.9210849948226,0.0
829.0652215848479,1mM,0.001,1166.5969572504387,1166.5969572504387,0.0
832.9909082769963,1mM,0.001,821.1530799593671,821.1530799593671,0.0
836.9165949691445,1mM,0.001,552.7625867347324,552.7625867347324,0.0
840.8422816612928,1mM,0.001,289.50087988850294,289.50087988850294,0.0
844.7679683534411,1mM,0.001,137.40037834322874,137.40037834322874,0.0
848.6936550455894,1mM,0.001,51.88008296801944,51.88008296801944,0.0
852.6193417377376,1mM,0.001,-11.978302509013899,-11.978302509013899,0.0
856.545028429886,1mM,0.001,-92.31555857111535,-92.31555857111535,0.0
860.4707151220342,1mM,0.001,-120.02343770738993,-120.02343770738993,0.0
864.3964018141826,1mM,0.001,-56.93012736214876,-56.93012736214876,0.0
868.3220885063308,1mM,0.001,-29.778109215454585,-29.778109215454585,0.0
872.2477751984791,1mM,0.001,20.687385082915924,20.687385082915924,0.0
876.1734618906274,1mM,0.001,35.17164216170363,35.17164216170363,0.0
880.0991485827757,1mM,0.001,112.65460430574029,112.65460430574029,0.0
884.0248352749239,1mM,0.001,135.38805436956162,135.38805436956162,0.0
887.9505219670723,1mM,0.001,55.3341498243168,55.3341498243168,0.0
891.8762086592205,1mM,0.001,107.99683698010946,107.99683698010946,0.0
895.8018953513689,1mM,0.001,203.8337131517584,203.8337131517584,0.0
899.7275820435171,1mM,0.001,357.9125742192824,357.9125742192824,0.0
903.6532687356654,1mM,0.001,596.503427182626,596.503427182626,0.0
907.5789554278138,1mM,0.001,979.4050489762542,979.4050489762542,0.0
911.504642119962,1mM,0.001,1418.8571092175944,1418.8571092175944,0.0
915.4303288121102,1mM,0.001,1817.1007714279172,1817.1007714279172,0.0
919.3560155042586,1mM,0.001,2053.067174298454,2053.067174298454,0.0
923.2817021964069,1mM,0.001,2106.75056909418,2106.75056909418,0.0
927.2073888885551,1mM,0.001,2151.231111776173,2151.231111776173,0.0
931.1330755807033,1mM,0.001,2155.094113417399,2155.094113417399,0.0
935.0587622728518,1mM,0.001,2359.731926380622,2359.731926380622,0.0
938.9844489650001,1mM,0.001,2586.627471215899,2586.627471215899,0.0
942.9101356571483,1mM,0.001,2695.391068631119,2695.391068631119,0.0
946.8358223492966,1mM,0.001,2807.5687679784746,2807.5687679784746,0.0
950.7615090414448,1mM,0.001,2758.9778472027133,2758.9778472027133,0.0
954.6871957335933,1mM,0.001,2761.630940941289,2761.630940941289,0.0
