Raman_shift_cm-1,1mM,100uM,10uM,1uM,100nM,10nM,1nM,100pM,10pM,1pM,100fM,10fM,1fM,Blank
613.152453516692,489.25431239539944,114.30892884784267,78.32961112882768,715.6144010151766,128.7912637100008,146.44516814510416,97.1207610260621,163.21324904641813,150.76392318835306,127.01348987110588,170.58658546596993,151.7169895183316,151.64686907317224,121.51495856613269
617.0781402088403,518.4447495117004,205.45562479367018,103.92747073106676,795.1435979277952,151.45737872860263,171.52978947003538,123.87818839456291,185.22938464621308,192.37420682122521,165.3431984849357,189.0576917961031,200.6513849590794,160.36134217523585,185.3224974523527
621.0038269009887,769.2960006982473,388.49711221567355,172.79315687733228,890.2496120954879,142.65515177212208,197.3218915593781,129.35078638801187,184.04899444443865,196.59087042979903,169.51051978721253,183.80821510784196,206.2243923270098,161.03651508093247,239.993948447757
624.9295135931369,1333.45312051694,664.3366233572359,323.3496998577018,991.5999743334627,125.6559507617736,175.26221568789168,110.7364113440179,161.14419050818202,128.51805953556243,143.60126482610255,147.81632606615597,152.56792635734004,127.13864287866933,242.74049968428972
628.8552002852852,1958.2618635372928,817.3063058750236,406.9580038483394,988.9819793516123,134.09390278338356,141.11322948733033,106.88507191928358,161.98448954939659,130.97202551443692,147.40222407145237,129.06205036084563,141.15831695039773,126.07075177545639,371.2352025723825
632.7808869774335,2536.998166878178,929.8398109590346,512.4300664410734,981.0182911099727,204.60692909771691,162.38953295248066,155.8141552113895,213.02684642254044,243.11186204507754,225.83225490791057,175.165184106724,207.5755624434204,186.89965918294942,452.06660751520315
636.7065736695818,2890.7353767813697,1060.043499778207,652.3321468993939,984.2666087259493,223.2099373901753,164.0726205800036,178.91035554307985,216.88677663010432,232.26890899453258,219.30683657805488,188.86000895938147,196.25381393309914,200.7695672591765,349.3901923555174
640.63226036173,2749.484771368517,1061.6671153448424,671.8643678533481,937.082004839791,224.34947482346035,160.02534346407387,185.4991239636698,218.57009259338858,210.78547128862323,200.99655270012968,201.7184854363397,191.1375026655025,208.82708133990528,228.3915797083071
644.5579470538784,2144.0792470321,889.18436509904,543.4204931603576,859.655592396976,218.42067566354078,156.17794433451365,186.39398044431616,223.23649629548848,243.26711397569306,209.90103721588562,219.38040415316743,202.89128100374384,219.30638360426227,189.19441400121332
648.4836337460266,1426.0591956595458,680.8794097087722,409.61510401448555,849.9215907836922,171.5966656065629,133.73016186339527,162.48957698050455,189.84466101214542,185.92489910732127,170.15496305903466,187.13854260121468,167.1048065281161,185.90842766109193,146.84229234696394
652.409320438175,828.5754103525644,486.21892234993084,310.9524351998998,892.6434027911121,180.96030902696572,149.98155175177317,172.60489737981422,205.18170667050538,185.68464331820905,189.74759301940637,197.14987099202474,199.93146907983126,192.44687406572905,115.76445873563779
656.3350071303232,399.81889721515637,290.2717825650265,200.14043572620216,858.9875926417996,188.42837460016088,167.62730720419293,177.22864041996874,216.47114130979278,218.79344496565255,214.07152958519663,216.3631801218025,215.84747142356449,206.30695914689625,125.8313245984937
660.2606938224715,229.44932894440245,203.3436506483989,164.6825635182694,819.721587529713,147.37979723071004,150.1086202387792,134.6055023675969,177.07885176498792,151.55281083567436,156.9701565265778,190.95597142995382,151.11109937160953,173.47051753407203,51.19802760664982
