Name,AAB_AS_750_5_5_H_S1.csv,,,,,,,,,
Date,02/08/2024 14:29,,,,,,,,,
Tag,AAB_AS_750_5_5_H_S1,,,,,,,,,
Comment,,,,,,,,,,
Peak raman shift[cm-1],392.3410158,,,,,,,,,
Integration[ms],750,,,,,,,,,
Averaging,5,,,,,,,,,
Measure data Count,5,,,,,,,,,
Source wave length,784.7207916,,,,,,,,,
Calibrate value 0,778.657113,,,,,,,,,
Calibrate value 1,0.351105861,,,,,,,,,
Calibrate value 2,-0.000114612,,,,,,,,,
Calibrate value 3,-1.40E-08,,,,,,,,,
Calibrate value 4,-6.35E-12,,,,,,,,,
Calibrate value 5,6.47E-14,,,,,,,,,
Sensor pixel num,512,,,,,,,,,
Count monitor raman shift,0,,,,,,,,,
Count monitor value,0,,,,,,,,,
Dark name,,,,,,,,,,
Ramanshift[cm-1],1,2,3,4,5,6,7,8,9,10
850.4500648,17063.8,17369,17311.2,17363,17497.2,17063.8,17369,17311.2,17363,17497.2
854.7823722,17040.8,17394.2,17375.6,17426.6,17538,17040.8,17394.2,17375.6,17426.6,17538
859.1081485,17407.8,17716.2,17619.6,17691.2,17758.8,17407.8,17716.2,17619.6,17691.2,17758.8
863.427405,16829.4,17034.4,17069.2,17099.6,17317.6,16829.4,17034.4,17069.2,17099.6,17317.6
867.7401529,17253.6,17581.8,17615,17529.2,17684.4,17253.6,17581.8,17615,17529.2,17684.4
872.0464034,17504.2,17769,17817.6,17880.4,18052.2,17504.2,17769,17817.6,17880.4,18052.2
876.3461676,17915.8,18262.6,18130,18137.8,18326.6,17915.8,18262.6,18130,18137.8,18326.6
880.6394567,17414,17616,17617.4,17724.8,17910.4,17414,17616,17617.4,17724.8,17910.4
884.9262819,17437.6,17758.4,17737.8,17727.8,17916,17437.6,17758.4,17737.8,17727.8,17916
889.2066544,17800.4,18164.8,18116,18147.6,18272.4,17800.4,18164.8,18116,18147.6,18272.4
893.4805852,16708.8,17061.6,16968.2,17139.4,17136.6,16708.8,17061.6,16968.2,17139.4,17136.6
897.7480856,16548.6,16918.6,16925,17084,17154,16548.6,16918.6,16925,17084,17154
902.0091666,17028.6,17380.2,17351.2,17479,17479.6,17028.6,17380.2,17351.2,17479,17479.6
906.2638394,17363.2,17576.4,17749.4,17746.6,17918.8,17363.2,17576.4,17749.4,17746.6,17918.8
910.5121151,16822.4,17109.8,17121.6,17194.8,17239.4,16822.4,17109.8,17121.6,17194.8,17239.4
914.7540048,16737,17136.4,17133.2,17162.4,17185.2,16737,17136.4,17133.2,17162.4,17185.2
