record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,2,peak_1078.5_height,1078.5,7,height,4829.9809048092984,107.02349530970891,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,2336.9442271938624,126.2613796301836,1588.3181139999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,8032.1199101652292,331.03262579855141,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,3,peak_1078.5_height,1078.5,7,height,798.57348239430132,623.07162228719983,1078.4991388000003,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1232.307746744526,1554.8142215269727,1589.6228171999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,35966.943427900798,3084.9674011183183,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,1,peak_1078.5_height,1078.5,7,height,1937.647605211469,53.348635823768682,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,834.76583809256988,41.090872160119659,1582.4355390000003,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,4967.2502877888637,938.69476743068822,391.31343559999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,2,peak_1078.5_height,1078.5,7,height,165.91897700288263,65.015943464459951,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,2060.1177711643054,1252.8389288881474,1585.7034408,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,34704.951190254549,1824.6802236326225,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,3,peak_1078.5_height,1078.5,7,height,2824.4247952516098,221.42736896080018,1080.8952396,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1282.0049148488201,71.458375779824323,1588.9678322,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,5037.4161662113147,595.97566045483359,394.33223035999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,1,peak_1078.5_height,1078.5,7,height,306.97281297396745,73.605185069124929,1082.0925183803022,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,157.13652662700298,61.74039676741598,1584.1431250531361,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,3816.4995086180948,550.59697340821106,382.639448493879,5
