duplicate_group,sha256,copies,source,relative_path
34,0cdb1937b8f41edbc6c5f717c3400b2111da5d37842e82113d2e8d31c342ab6d,2,master_portable,Test AS   Glu/Elegidos/02-08-24/Sustrato AuAgBC/Sudor artificial   Glu/AAB_AS_Glu_1X10^-2M_750_5_5_H_S3.csv
35,0de4d680ca092a524dcecec72c996fb038f27e09ffa8bc91e5e1b7e55c0398e5,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-15M_750_5_5_H_S1.csv
35,0de4d680ca092a524dcecec72c996fb038f27e09ffa8bc91e5e1b7e55c0398e5,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-15M_750_5_5_H_S1.csv
36,0dee5c98066b3d70e395f0f9f55e75ae6153944af7e112076d0da7695c7816b7,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_10nM_rep2_acc5.csv
36,0dee5c98066b3d70e395f0f9f55e75ae6153944af7e112076d0da7695c7816b7,2,curated,Raman_spectra_data/Stability/03_07_24/4ATP_10nM_rep2_acc5.csv
37,0e722c4e266ab0bd64f53faafc114364692176ed4c8f96911d55ab3bce51c3de,2,curated,Raman_spectra_data/Stability/19_05_24/4ATP_1mM_rep3_acc5.csv
37,0e722c4e266ab0bd64f53faafc114364692176ed4c8f96911d55ab3bce51c3de,2,curated,Raman_spectra_data/Stability/24_09_24/4ATP_10pM_rep3_acc5.csv
38,0f0de2ff597a01f76b52a600ab3aab6a1b13ac624e0f8c6a88682cc6a08bf0c7,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_1pM_rep1_acc5.csv
38,0f0de2ff597a01f76b52a600ab3aab6a1b13ac624e0f8c6a88682cc6a08bf0c7,2,curated,Raman_spectra_data/Stability/03_07_24/4ATP_1pM_rep3_acc5.csv
39,0f5f2623e475ad0c2a0f33619216940ff138599215058b944c676ae0f9c694a3,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_1mM_rep1_acc2.csv
39,0f5f2623e475ad0c2a0f33619216940ff138599215058b944c676ae0f9c694a3,2,curated,Raman_spectra_data/Stability/03_07_24/4ATP_1mM_rep2_acc2.csv
40,0f894010b8d636ae3623bb62643bf22a0ec909d6b6b330b182b94d84b88d9d11,2,curated,Raman_spectra_data/Stability/19_05_24/4ATP_1mM_rep2_acc3.csv
40,0f894010b8d636ae3623bb62643bf22a0ec909d6b6b330b182b94d84b88d9d11,2,curated,Raman_spectra_data/Stability/24_09_24/4ATP_10pM_rep2_acc3.csv
41,0f90bb33d049bf45fa8cd045b65da141bfe2f39417ca751ec5ecaf7de78116a9,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_10nM_rep2_acc4.csv
41,0f90bb33d049bf45fa8cd045b65da141bfe2f39417ca751ec5ecaf7de78116a9,2,curated,Raman_spectra_data/Stability/03_07_24/4ATP_10nM_rep2_acc4.csv
42,0fa5169a029b93a4549aae707b6d55f991dbd882e5179f682e1fa691224739b3,2,master_portable,Test AS   4-ATP/25-07-24/4 ATP   AS/750_5_5_M/AAB_AS_4 ATP_10^-3M_750_5_5_M_S1.csv
42,0fa5169a029b93a4549aae707b6d55f991dbd882e5179f682e1fa691224739b3,2,master_portable,Test AS   4-ATP/Elegidos/25-07-24/4 ATP   AS/750_5_5_M/AAB_AS_4 ATP_10^-3M_750_5_5_M_S1.csv
43,10463e23d2975ca96296b2f5991e3e1ec6e2df0f3c0a846c5593ce3f1fbe02bb,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100uM_rep2_acc5.csv
43,10463e23d2975ca96296b2f5991e3e1ec6e2df0f3c0a846c5593ce3f1fbe02bb,3,curated,Raman_spectra_data/Optimisation/750_5_5_M/4ATP_100uM_rep2_acc5.csv
43,10463e23d2975ca96296b2f5991e3e1ec6e2df0f3c0a846c5593ce3f1fbe02bb,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10uM_rep2_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Blind samples/Original spectra/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Calibration curve/Original spectra/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Optimisation/500_5_5_L/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Optimisation/750_5_5_H/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Optimisation/750_5_5_M/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Stability/03_07_24/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Stability/19_05_24/blank_rep3_acc5.csv
44,105607d442bed1ff41ae5bbebc79abd56bfd23975c13bd91b74f16be4188f977,8,curated,Raman_spectra_data/Stability/24_09_24/blank_rep3_acc5.csv
45,1152dce1358a67ca73e0926d1d57cf39261483afe51a4e2a1e020e4c7badfe34,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-6M_750_5_5_L_S1.csv
45,1152dce1358a67ca73e0926d1d57cf39261483afe51a4e2a1e020e4c7badfe34,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-6M_750_5_5_L_S1.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Blind samples/Original spectra/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Calibration curve/Original spectra/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Optimisation/500_5_5_L/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Optimisation/750_5_5_H/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Optimisation/750_5_5_M/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Stability/03_07_24/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Stability/19_05_24/blank_rep3_acc4.csv
46,1237093fbe747cb7e86fd837d90e6d6ec4ae998fa8e2a004c1c096fa3a072762,8,curated,Raman_spectra_data/Stability/24_09_24/blank_rep3_acc4.csv
47,129df9858e729e80689b1ed009484396b99396320f75500b19a4fbb3eb45db0e,2,master_portable,Test HS/30-09-24/Blank/AAB_Blank_750_5_5_H.csv
47,129df9858e729e80689b1ed009484396b99396320f75500b19a4fbb3eb45db0e,2,master_portable,Test HS/Elegidos/30-09-24/Blank/AAB_Blank_750_5_5_H.csv
48,12ae203f54a217c160452caa0e81b13a0214580260d0f7b707b4e4f6d8d78b01,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_10nM_rep3_acc2.csv
48,12ae203f54a217c160452caa0e81b13a0214580260d0f7b707b4e4f6d8d78b01,2,curated,Raman_spectra_data/Stability/03_07_24/4ATP_10nM_rep3_acc2.csv
49,12e1ee72055a4c2225655c86fe6e7a0082d9c25f66ebd2bda181ee3b81333dd3,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100fM_rep3_acc5.csv
49,12e1ee72055a4c2225655c86fe6e7a0082d9c25f66ebd2bda181ee3b81333dd3,3,curated,Raman_spectra_data/Stability/03_07_24/4ATP_100fM_rep3_acc5.csv
49,12e1ee72055a4c2225655c86fe6e7a0082d9c25f66ebd2bda181ee3b81333dd3,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10fM_rep3_acc5.csv
50,12f220cb3ca70c86b36742c86220b0fbf0cd973cdd310b49be832fd68579b139,2,master_benchtop,24-10-21/Measures/Analitos elegidos/Blanks/GOAAB/GOAAB_Blank_S1_C1.csv
50,12f220cb3ca70c86b36742c86220b0fbf0cd973cdd310b49be832fd68579b139,2,master_benchtop,24-10-21/Measures/Blanks/GOAAB/GOAAB_Blank_S1_C1.csv
51,138d4dd71fecc5de1fba38c0e13ef8daeac0439466108b0f3b0783e05b9f288b,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-11M_750_5_5_M_S3.csv
51,138d4dd71fecc5de1fba38c0e13ef8daeac0439466108b0f3b0783e05b9f288b,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-11M_750_5_5_M_S3.csv
52,13be3027d4dfe32f301e5d58123c197474fe5c659498bd46fe479d90bcbbefb6,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-14M_750_5_5_L_S2.csv
52,13be3027d4dfe32f301e5d58123c197474fe5c659498bd46fe479d90bcbbefb6,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-14M_750_5_5_L_S2.csv
53,1605b500334f2a4b3d5bf4868021f79a061d7d30faa5249420d0698bfb592a61,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-8M_750_5_5_L_S3.csv
53,1605b500334f2a4b3d5bf4868021f79a061d7d30faa5249420d0698bfb592a61,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-8M_750_5_5_L_S3.csv
54,160b797a37d868372c34ae71d1f4f8992c5980f6200ad5b4c2aefda692e713e0,2,master_portable,Test AS   4-ATP/25-07-24/4 ATP   AS/750_5_5_H/AAB_AS_4 ATP_10^-4M_750_5_5_H_S1.csv
54,160b797a37d868372c34ae71d1f4f8992c5980f6200ad5b4c2aefda692e713e0,2,master_portable,Test AS   4-ATP/Elegidos/25-07-24/4 ATP   AS/750_5_5_H/AAB_AS_4 ATP_10^-4M_750_5_5_H_S1.csv
55,16faabe90fb22a30313acc1a32f834cff5bceeed40e97634e29b46d1c03e1adf,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_1uM_rep1_acc2.csv
55,16faabe90fb22a30313acc1a32f834cff5bceeed40e97634e29b46d1c03e1adf,2,curated,Raman_spectra_data/Stability/19_05_24/4ATP_100nM_rep1_acc2.csv
56,17b8e6f57d8dbadc5949a11c4b7fe772ba6eb6d6b9bff2d0a98aa68700ce2ef9,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100uM_rep1_acc4.csv
56,17b8e6f57d8dbadc5949a11c4b7fe772ba6eb6d6b9bff2d0a98aa68700ce2ef9,2,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10uM_rep1_acc4.csv
57,17e69aa11372bf00dc144176b712f8c927676c7d9360f6a0bbb43fbfdbf82ddd,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-5M_750_5_5_L_S3.csv
57,17e69aa11372bf00dc144176b712f8c927676c7d9360f6a0bbb43fbfdbf82ddd,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-5M_750_5_5_L_S3.csv
58,18a7cd7b7f8d69ac426ed756fbe48ad645594e15bcb3c40c5abd6345ba51d422,2,master_portable,Precision y exactitud/10-09-24/Elegidos/Sustrato AAG/AAB_4 ATP_Sig_750_5_5_L_S2.csv
