Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
1377.076436,185.2076473,215.96449,164.351124,187.25614
1380.631343,284.4237421,369.0017033,240.2206611,241.54698
1384.181184,367.157206,504.85777,277.2064636,261.63079
1387.725969,468.1704633,626.7661,298.1027821,283.97331
1391.26571,449.1897952,556.5987667,265.2354326,219.10396
1394.800417,313.8144316,389.5483,165.8714222,123.38167
1398.330102,224.8420939,232.0400833,115.2811361,136.33832
1401.854776,140.9545428,90.24689333,84.4972986,75.39875
1405.374448,46.87628713,2.490236667,-3.850279633,-3.76892
1408.889132,-3.710948455,-9.55516,-51.0083471,-14.92017
1412.398837,-43.52089631,16.68089,5.783388338,-8.85632
1415.903574,94.33272207,182.6590567,133.0318464,129.9503
1419.403355,317.1857566,381.8315467,233.7851471,209.0005
1422.89819,447.5690775,560.0612933,307.589565,293.67694
1426.388091,545.311363,805.35637,409.7381358,416.20293
1429.873069,592.7938438,902.56078,396.2829302,403.6527
1433.353134,498.8323143,791.3577,314.0132241,324.75687
1436.828298,401.314525,608.02476,300.8341524,294.36541
1440.298571,254.939085,424.13569,218.4465998,201.3947
1443.763965,106.699846,297.9034333,98.67016436,104.97399
1447.224491,32.5476659,197.5387033,39.06995564,41.17263
1450.68016,60.32341032,141.0641333,1.422681197,-22.22647
1454.130983,159.6218275,114.1662,23.05377198,24.69953
1457.576971,43.67760902,87.86091333,51.4480673,93.29971
1461.018135,22.46818829,85.15141667,55.90973346,74.68179
1464.454486,36.35612772,98.10674,93.11494799,138.82247
1467.886036,14.2123079,52.79692,70.48732984,89.7317
1471.312794,26.71731217,48.58475333,-15.82746042,-30.20095
1474.734774,54.45199516,43.63329333,-35.73818811,-25.60491
1478.151985,99.51346913,65.17958,-1.235964955,25.29998
1481.564439,89.61859886,51.32603333,24.67959367,55.51222
1484.972146,12.35460932,27.46334,11.47566729,77.86074
1488.375119,-28.95488446,-21.60799333,3.579132877,7.05379
1491.773368,2.922309972,-1.00836,29.6618728,3.21756
1495.166904,77.1664606,25.19408667,21.37020919,38.54832
1498.555739,104.3394695,-3.577956667,30.16412909,42.30282
1501.939883,41.25859185,42.30917333,38.7921933,63.44484
1505.319349,-0.085976096,24.60860667,-7.20703787,12.38003
1508.694146,15.0753237,63.11480333,6.306342228,14.7153
1512.064286,98.70103997,90.05980667,53.72621512,41.84657
1515.429781,123.9258853,96.99535,66.63567462,113.6316
1518.790642,25.64396559,64.43018667,72.68145838,90.02635
1522.146879,-75.19370854,30.43980667,29.7590996,63.33457
1525.498505,27.8154693,5.726373333,-41.03209903,-32.64678
1528.845529,67.85352438,39.42462667,-31.08007153,-22.06656
1532.187965,47.13023529,46.07376,30.23223053,26.27393
1535.525822,74.77328184,33.25280667,67.6587226,65.30409
1538.859112,76.27621538,44.89007667,103.5450698,142.07018
1542.187846,111.7917318,64.33187333,120.1927384,130.61332
1545.512036,126.5855236,57.39474667,84.99030586,98.1061
1548.831693,178.9201166,38.00861333,50.50527223,69.76595
1552.146829,193.9667973,59.77230667,50.54085638,67.80239
1555.457453,150.107307,75.39629667,39.12699707,48.81736
1558.763579,165.04545,95.84966333,11.74719535,27.40909
1562.065216,238.7368042,96.83108333,18.64265091,35.88262
1565.362377,315.95497,139.8983033,61.32333659,108.07467
1568.655073,381.8633317,181.3565367,96.49311189,131.07817
1571.943315,441.4574689,240.9709967,109.1532128,102.38613
1575.227114,480.7669403,286.70373,149.6596843,170.34478
1578.506482,496.2185823,278.6554867,196.5448918,188.00188
1581.781431,552.173513,283.8829333,169.4694952,178.77783
1585.051971,552.8849405,209.2583467,116.774286,145.48489
1588.318114,487.6770205,207.6868267,128.9917373,124.83407
1591.579872,469.4381403,211.2817867,180.7050431,217.94363
1594.837255,391.8237411,162.7813233,201.0603196,177.84411
1598.090275,258.2496374,134.2356267,175.0191815,118.3519
1601.338945,275.0965913,160.93679,141.8897408,89.42535
1604.583274,243.8791734,120.8841167,133.1811397,148.27214
1607.823275,44.79698471,44.99484667,71.6475614,86.59418
1611.058959,-16.78413454,-17.10458,-32.27779076,-47.86137
1614.290338,-34.00092209,-63.37963,-40.94577103,-30.6214
1617.517422,-54.82278586,-17.52306667,1.201608988,-14.19549
1620.740224,64.7318585,69.95653333,62.26631499,32.2684
1623.958755,154.6465671,95.21038667,152.679075,111.94577
1627.173027,65.19694743,94.92692,163.9777202,142.69165
1630.38305,17.06468914,125.5975367,149.5726079,104.86745
1633.588838,28.64016823,67.91973333,171.0393271,106.74471
1636.7904,69.59326054,60.12823,155.8919279,106.97603
1639.987749,113.021139,104.7093967,117.3788085,98.4979
1643.180896,52.08963411,90.41485333,90.62569267,79.27598
1646.369853,29.37844116,76.48489,103.7067327,76.7096
1649.554632,54.79349976,88.8303,119.7623706,72.26651
1652.735244,32.35124573,29.31623667,58.75014372,5.25443
1655.9117,1.425216387,19.29741,-5.289824916,10.55023
1659.084013,10.62425617,57.70239667,25.66012958,21.7489
1662.252193,40.3041685,89.88085,75.76879774,69.63408
1665.416254,53.24699006,85.79154333,54.26133282,32.39649
