Wavelength,AAB_4-ATP^10-15M_C2_M3_I1
2164.25073549664,-1.8350305590112894
2163.43273512438,4.555370442482467
2162.61459920211,10.08857633922053
2161.79632770144,13.628299011923485
2160.97792059397,17.408949486304024
2160.15937785132,20.3112179537567
2159.34069944507,20.616183705217306
2158.52188534679,21.54696434756022
2157.70293552807,26.527087041058245
2156.88384996047,33.440427705771725
2156.06462861554,39.38463186518972
2155.24527146484,43.928317016134265
2154.42577847991,45.14654978780199
2153.60614963227,39.93110267480735
2152.78638489345,31.455242337298486
2151.96648423496,29.005301519258193
2151.14644762832,33.35194830500913
2150.32627504501,33.96081720021779
2149.50596645653,28.575745441834552
2148.68552183436,25.1347467126525
2147.86494114998,23.105977454780888
2147.04422437484,18.4740839995258
2146.2233714804,16.581604897758318
2145.40238243812,20.95856787298473
2144.58125721942,27.329318441382767
2143.75999579574,32.45950687818372
2142.9385981385,34.862684972369756
2142.11706421911,34.69680983330362
2141.29539400899,35.99872425781467
2140.47358747953,40.588773171149256
2139.6516446021,46.14557524133122
2138.82956534811,51.148052587304974
2138.00734968891,53.133643935739485
2137.18499759586,49.754896466422785
2136.36250904034,44.944399799428275
2135.53988399367,42.83427773343738
2134.7171224272,40.3080535582475
2133.89422431225,35.313250129082014
2133.07118962016,32.95684687245476
2132.24801832222,36.45981965654507
2131.42471038974,39.943849495427585
2130.60126579402,36.19399553837352
2129.77768450634,29.063843839470685
2128.95396649799,28.38068279517176
2128.13011174023,33.45855007045273
2127.30612020431,36.7700232251157
2126.48199186151,37.063062263394215
2125.65772668305,35.24753286153336
2124.83332464018,30.6194860971645
2124.00878570412,25.977876081286066
2123.18410984609,25.00429239264557
2122.3592970373,28.395670767256473
2121.53434724895,35.37875932565927
2120.70926045224,42.12088971781305
2119.88403661834,42.71260351319101
2119.05867571844,36.67364288356393
2118.2331777237,29.384559168560536
2117.40754260529,24.9810870869552
2116.58177033434,25.556454445143558
2115.75586088201,31.25270634036991
2114.92981421942,35.84789687882677
2114.1036303177,33.66149972886213
2113.27730914797,28.545819208441333
2112.45085068134,25.511484821412807
2111.62425488889,24.91784736835363
2110.79752174174,27.54276816109956
2109.97065121094,32.24653440951859
2109.14364326759,34.206010287002215
2108.31649788274,32.174354152666034
2107.48921502744,30.07166009732635
2106.66179467276,29.724095249461882
2105.83423678972,29.129440319303637
2105.00654134936,31.484481377367047
2104.17870832269,43.742035009922134
2103.35073768073,61.8704022117513
2102.52262939449,76.6556978904795
2101.69438343496,88.91347850053117
2100.86599977313,101.90965804045388
2100.03747837998,114.77439286246016
2099.20881922648,128.9053057467783
2098.38002228358,144.23959375534363
2097.55108752225,154.71535322352898
2096.72201491342,157.36825361506732
2095.89280442804,155.9714063049875
2095.06345603702,153.26373141099072
2094.23396971129,150.08897317755634
2093.40434542176,149.38475727872458
2092.57458313933,151.97241352971074
2091.74468283489,153.04059736282113
2090.91464447933,147.21758188435317
2090.08446804351,133.27708186804753
2089.25415349832,115.58658213381042
2088.42370081459,100.80373682661931
2087.59310996319,90.18902912075166
2086.76238091496,81.87858167208434
2085.93151364072,77.23694543193454
2085.1005081113,74.76333133345594
2084.26936429752,67.94678392400081
2083.43808217018,56.58425831817937
2082.60666170007,48.727410423090994
2081.775102858,48.49116184482246
2080.94340561473,51.88173002968696
2080.11156994103,54.443896715524026
2079.27959580768,54.470716842553614
2078.44748318543,51.07053303315537
2077.61523204501,44.407664765813216
2076.78284235717,35.83950511899748
2075.95031409264,28.82294584243297
2075.11764722212,27.949664606765502
2074.28484171635,31.706876728085582
2073.451897546,33.121854998816815
2072.61881468179,29.051584877540392
2071.78559309439,21.231553680484932
2070.95223275448,14.882359846752427
2070.11873363272,15.49238628462544
2069.28509569978,19.021448937717626
2068.4513189263,17.400222957098947
2067.61740328293,14.292166430189155
2066.78334874029,17.450355060731603
2065.94915526901,21.562134657989255
2065.1148228397,16.97910924866207
2064.28035142298,7.971363951372821
2063.44574098943,7.495623006154236
2062.61099150964,19.030166593750835
2061.7761029542,32.67861542569044
2060.94107529368,38.493102007415715
2060.10590849863,37.76698191392528
2059.27060253962,37.394775610292704
2058.43515738718,39.98360414495883
2057.59957301184,43.87937665563169
2056.76384938415,46.86025216926316
2055.92798647462,49.109217867474264
2055.09198425375,52.07993140674088
2054.25584269205,54.25245941855832
2053.41956176,54.74787848973418
2052.5831414281,55.5679255382692
2051.74658166681,56.87459974933093
2050.9098824466,59.636865559231595
2050.07304373793,64.31345841195416
2049.23606551125,63.56383919222446
2048.39894773699,52.82657049371838
2047.56169038558,41.22561323305587
2046.72429342746,37.97632299101957
2045.88675683302,39.59312541803241
2045.04908057267,39.2569868959063
2044.21126461682,38.59013007246857
2043.37330893584,42.04363728584032
2042.53521350011,46.180518756762766
2041.69697828,44.67282531690653
2040.85860324588,39.13827639779682
2040.02008836808,35.15248322328999
2039.18143361696,33.48567807161936
2038.34263896284,31.861042498550688
2037.50370437606,30.043324427232875
2036.66462982693,29.27654769327884
2035.82541528574,29.64530015464041
2034.98606072281,31.67032981118827
2034.14656610843,37.28026899300437
2033.30693141286,43.891369323351086
2032.46715660638,44.996663157597574
2031.62724165926,42.38816108317857
2030.78718654174,42.885318210151254
2029.94699122408,43.660785555058574
2029.10665567651,40.799312519724424
2028.26617986926,38.9304747040501
2027.42556377253,40.55692051494207
2026.58480735655,44.7178690572961
2025.74391059152,49.45019506149459
2024.90287344761,48.50208360639802
2024.06169589503,41.98295698622031
2023.22037790394,38.42348416514088
2022.3789194445,38.898349393235875
2021.53732048688,38.402241630153405
2020.69558100121,35.79177242442445
2019.85370095764,30.826787766845367
2019.0116803263,23.004578851043078
2018.1695190773,15.243107318279206
2017.32721718075,11.48656300981174
2016.48477460677,11.916204387963536
2015.64219132544,14.876146117885945
2014.79946730685,18.770532626467208
2013.95660252107,18.067131782353457
2013.11359693817,8.72419506717339
2012.2704505282,-1.6647352342851844
2011.42716326123,-3.467340614481363
2010.58373510727,0.8281754017234693
2009.74016603638,5.179335284582734
2008.89645601856,11.061980528474892
2008.05260502384,18.370296494461343
2007.20861302221,21.72894199269152
2006.36447998367,21.901413389753586
2005.5202058782,22.679571894575247
2004.67579067579,22.96056179170439
2003.8312343464,24.224051051164274
2002.98653685999,28.670008218545583
2002.14169818652,30.294682125515834
2001.29671829591,24.53940326514587
