#Wave,#Intensity1,#Intensity2
1445.811504,9276,8223
1444.872479,9300,8241
1443.933292,9425,8147
1442.993944,9387,8231
1442.054434,9551,8250
1441.114761,9512,8357
1440.174927,9804,8329
1439.234931,9808,8294
1438.294772,9833,8277
1437.354452,9891,8333
1436.413969,10071,8394
1435.473325,10037,8430
1434.532518,10096,8410
1433.591549,10143,8364
1432.650417,10324,8291
1431.709123,10233,8358
1430.767667,10114,8374
1429.826049,10325,8455
1428.884268,10122,8382
1427.942325,10103,8423
1427.000219,9860,8081
1426.057951,9741,8188
1425.11552,9873,8217
1424.172926,9672,8256
1423.23017,9779,8276
1422.287251,9673,8181
1421.34417,9507,8109
1420.400926,9529,8014
1419.457519,9343,8025
1418.513949,9344,7960
1417.570216,9152,7843
1416.62632,9162,7993
1415.682262,8993,7857
1414.73804,8927,7802
1413.793656,8885,7882
1412.849108,8827,7876
1411.904398,8779,7881
1410.959524,8756,7958
1410.014487,8669,7909
1409.069287,8759,7817
1408.123924,8605,7897
1407.178397,8768,7946
1406.232708,8743,7869
1405.286855,8658,7955
1404.340838,8818,7925
1403.394658,8768,7952
1402.448315,8764,7981
1401.501808,8741,7998
1400.555137,8794,8007
1399.608304,8952,8023
1398.661306,9060,7995
1397.714145,9187,8007
1396.76682,8999,8059
1395.819332,9351,8018
1394.871679,9366,8138
1393.923863,9606,8285
1392.975883,9615,8256
1392.02774,9786,8478
1391.079432,9772,8349
1390.130961,9899,8467
1389.182325,10021,8462
