#Wave,#Intensity1,#Intensity2
2031.290871,5422,4787
2030.450956,5513,4819
2029.610901,5491,4874
2028.770705,5589,4864
2027.93037,5486,4827
2027.089894,5471,4903
2026.249278,5419,4813
2025.408521,5520,4881
2024.567625,5536,4873
2023.726588,5423,4897
2022.88541,5475,4898
2022.044092,5540,4844
2021.202634,5482,4912
2020.361035,5477,4993
2019.519295,5502,4807
2018.677415,5472,4773
2017.835394,5460,4849
2016.993233,5432,4906
2016.150931,5496,4871
2015.308489,5521,4881
2014.465905,5535,4885
2013.623181,5414,4804
2012.780317,5455,4919
2011.937311,5439,4954
2011.094165,5520,4898
2010.250877,5486,4885
2009.407449,5567,4868
2008.56388,5455,4841
2007.72017,5405,4824
2006.876319,5597,4922
2006.032327,5459,4957
2005.188194,5547,4944
2004.34392,5463,4880
2003.499505,5524,4989
2002.654948,5433,4916
2001.810251,5508,4907
2000.965412,5430,4867
2000.120432,5494,4932
1999.275311,5498,4896
1998.430049,5530,4996
1997.584645,5541,4914
1996.7391,5579,4872
1995.893414,5506,4939
1995.047586,5577,4906
1994.201617,5615,4943
1993.355506,5527,4931
1992.509254,5584,4913
1991.66286,5644,4967
1990.816325,5454,4920
1989.969648,5506,4912
1989.122829,5536,4937
1988.275869,5625,4893
1987.428768,5508,4936
1986.581524,5541,4906
1985.734139,5580,4910
1984.886612,5565,4957
1984.038943,5665,4963
1983.191133,5543,4907
1982.34318,5548,4869
1981.495086,5529,4973
1980.64685,5653,4975
1979.798472,5503,4971
1978.949951,5583,4880
1978.101289,5626,4908
1977.252485,5619,4919
1976.403539,5488,4964
1975.554451,5562,4893
1974.70522,5633,4919
1973.855848,5695,4998
1973.006333,5521,5049
1972.156676,5649,4939
1971.306877,5603,4907
1970.456935,5568,4960
1969.606851,5566,4900
1968.756625,5627,4943
1967.906257,5595,4982
1967.055746,5444,4931
1966.205093,5517,4957
1965.354297,5559,4921
1964.503359,5550,5013
1963.652278,5619,4997.721965
1962.801054,5642,4982.441372
1961.949688,5517,4967.158218
1961.09818,5547,4951.872505
1960.246529,5628,4936.584231
1959.394735,5573,4921.293397
1958.542798,5518,4906
1957.690719,5559,4980
1956.838497,5551,4940
1955.986132,5593,4950
1955.133625,5575,5045
1954.280974,5518,4960
1953.428181,5574,4963
1952.575244,5573,4989
1951.722165,5660,4934
1950.868943,5605,4966
1950.015578,5620,4991
1949.162069,5530,4957
1948.308418,5689,4909
1947.454624,5636,4977
1946.600686,5599,4971
1945.746605,5554,4967
1944.892381,5615,4970
1944.038014,5577,4974
1943.183504,5628,4897
1942.32885,5589,4966
1941.474053,5552,4964
1940.619113,5565,4969
1939.764029,5544,4957
1938.908802,5596,4946
1938.053432,5562,4903
1937.197918,5560,4981
1936.34226,5621,4902
1935.486459,5596,5003
1934.630514,5485,4900
1933.774426,5612,4943
1932.918195,5507,4974
1932.061819,5642,4942
1931.2053,5640,4960
1930.348637,5596,4909
1929.49183,5645,5043
1928.63488,5574,4984
1927.777786,5543,4974
1926.920548,5557,4979
1926.063166,5579,5032
1925.20564,5607,4929
1924.347971,5541,4894
1923.490157,5661,5021
1922.632199,5559,5019
1921.774098,5592,4950
1920.915852,5556,5013
1920.057462,5535,5014
1919.198928,5613,4982
1918.34025,5628,4921
1917.481428,5622,4923
1916.622461,5560,4978
1915.763351,5627,4967
1914.904096,5641,5006
1914.044696,5678,5002
1913.185153,5631,4964
1912.325465,5661,5006
1911.465633,5528,5009
1910.605656,5651,4963
1909.745535,5662,4948
1908.885269,5667,4990
1908.024859,5572,5086
1907.164304,5695,5012
1906.303605,5660,5035
1905.442761,5653,5068
1904.581772,5634,5029
1903.720639,5666,5017
1902.859361,5557,5013
1901.997938,5667,4967
1901.136371,5660,4982
1900.274658,5653,4991
1899.412801,5729,5060
1898.550799,5672,4944
1897.688652,5602,5086
1896.826361,5704,5007
1895.963924,5688,4993
1895.101342,5658,4953
1894.238615,5706,5008
1893.375744,5719,5103
1892.512727,5681,5018
1891.649565,5739,4971
1890.786258,5652,5073
1889.922805,5666,5058
1889.059208,5764,5083
1888.195465,5705,5042
1887.331577,5716,5025
1886.467544,5779,5080
1885.603365,5735,5034
1884.739041,5617,5057
1883.874572,5657,5008
