Wavelength,HS_AAB_P4_750_5_5_H_S3_I1,HS_AAB_P4_750_5_5_H_S3_I2,HS_AAB_P4_750_5_5_H_S3_I3,HS_AAB_P4_750_5_5_H_S3_I4,HS_AAB_P4_750_5_5_H_S3_I5
1578.506482,161.3132238,291.2199951,95.0302707,118.1501248,274.2957666
1581.781431,142.6406979,264.289406,89.9529374,123.8151465,273.190953
1585.051971,199.5037012,241.2632439,-1.126673091,42.06792733,245.7162372
1588.318114,87.66288597,249.9653944,12.8493719,27.22740908,246.4653133
1591.579872,269.7335323,258.3211067,158.778567,125.7465955,277.1383712
1594.837255,251.910899,231.8912301,10.55981932,132.6688403,262.1897647
1598.090275,148.9423369,195.4670764,37.83241259,19.71724709,189.8004243
1601.338945,106.5239182,186.8463357,-20.76595471,28.86760272,145.6548623
1604.583274,184.9882303,182.4656609,119.3708826,113.1643551,141.3715533
1607.823275,157.1394587,128.290135,27.64542593,22.77771642,97.11814835
1611.058959,-29.58195326,37.06167525,-146.5865962,-116.020995,15.8210208
1614.290338,-19.49096486,-8.279374791,-2.933310467,-96.84189036,-25.56146061
1617.517422,-43.93883855,35.80784944,-21.1290615,-37.76064108,-3.956771553
1620.740224,-1.648574681,118.2952109,-3.388591949,-14.86143839,62.94541905
1623.958755,122.2362235,170.8614387,95.33514446,30.82637688,140.4696902
1627.173027,146.9557752,188.7500386,148.4456432,58.96071744,170.3460545
1630.38305,108.1777854,199.6951852,29.17316787,41.55713063,145.7339591
1633.588838,84.49780115,199.5690954,104.2974323,24.72356001,120.6356529
1636.7904,30.58142816,176.0899871,190.5486613,25.17084235,112.4892219
1639.987749,119.963848,153.7931963,91.03890403,27.692678,100.000891
1643.180896,87.18362041,156.323923,47.56002613,20.55517981,84.7571508
1646.369853,77.57132467,163.3193633,63.76478473,7.944925372,70.94759467
1649.554632,49.15965345,142.4407775,136.8095182,-7.847403563,40.76997999
1652.735244,-6.848662177,103.4643106,-40.21912824,-29.29028203,-0.834063977
1655.9117,42.49335448,94.87463655,-32.87062518,-38.42264961,-13.32358232
1659.084013,-24.88530202,129.0686961,-4.628833216,-4.076710836,13.26664683
1662.252193,100.8818758,154.5501001,20.21813477,38.507888,34.01239369
1665.416254,-7.375729033,145.7140508,-18.88219513,20.78906404,21.73724169
1668.576205,-17.54620009,136.2405939,12.43658376,11.24084246,3.01788328
1671.732059,42.30813067,130.7532961,49.81871385,56.69936283,3.621499651
1674.883828,-0.900058582,97.50960726,125.6032936,50.00938428,19.33722854
1678.031523,8.086086779,46.05972135,5.022654632,11.56374966,29.36545362
1681.175157,80.58255467,11.64836081,-26.59285017,-3.566037102,6.915601627
1684.314739,4.062036947,1.254805533,2.869906146,-44.7031408,-35.99442401
1687.450284,-116.0709314,3.107789822,-119.7376935,-20.82486122,-38.82224915
1690.581801,101.1533932,2.625912423,142.6711674,59.33395436,3.789022499
1693.709304,-3.977433996,-3.689422871,21.10160941,22.31847973,20.33362312
1696.832803,-7.924443289,5.508406037,15.65697416,-29.51271336,-5.414231965
1699.952311,40.96226644,40.61457756,2.81800103,15.64043875,-15.18019235
1703.067839,28.47490863,72.46489893,31.45877992,52.32779751,5.981173011
1706.179399,87.01093541,69.92850307,15.22214384,77.43576564,17.37991475
1709.287003,23.31278087,39.90366022,35.31465175,82.14075993,11.46763775
1712.390663,71.22161629,14.16754049,10.99375202,36.98761581,17.61792308
1715.49039,46.68076503,6.552214605,99.50943917,74.19313423,29.99615962
1718.586197,-10.82620387,4.523221999,5.614629778,138.3356044,15.95381292
1721.678095,-37.08462803,3.080869393,27.88865488,25.42018259,-13.08553341
1724.766096,-10.01824051,11.15207187,-51.15152289,-93.04106185,-8.075098135
1727.850213,14.64663132,22.69738464,-43.96336659,6.268473427,32.25908552
1730.930456,-42.00866899,16.18995928,37.8805415,108.9706333,37.60393875
1734.006838,23.5435978,-8.556501016,-17.20242504,28.26595888,-10.34111159
1737.079372,-43.06391096,-13.64776447,-22.1757094,-41.19272358,-16.12824258
1740.148067,-10.82151486,30.45741779,-58.26349455,14.85757278,64.66856835
1743.212938,170.3086947,93.75034349,184.9607537,39.1097126,145.9540235
1746.273996,108.884605,120.3585936,18.12735355,0.014269981,165.6930261
1749.331252,78.8691123,99.43484033,115.5735176,-0.622879289,138.6002716
1752.384718,27.74759207,74.85071769,24.9042442,11.985176,85.38458149
1755.434408,31.87880773,91.40231185,25.32100216,30.99042674,52.76450372
1758.480332,0.0013467,129.495925,27.89787136,79.86668148,80.31614601
1761.522503,15.7525039,119.9025474,44.56705413,59.38574155,106.1672778
1764.560933,50.62697923,52.11822832,-13.63530439,-25.22981496,59.82201525
1767.595634,-60.8102588,4.804874571,-34.34403405,-45.60616584,-5.390570109
1770.626618,-26.46721551,30.87028736,-35.80252814,-13.34483825,-7.43706321
1773.653896,78.46111183,83.83650189,36.14386842,30.0031388,29.56665205
1776.677482,102.8913325,95.68719563,44.40562097,66.80906092,37.17609001
1779.697388,4.620580728,71.68916651,4.162211702,22.0942385,15.10487472
