Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5,HS_AAB_P2_750_5_5_H_S3_I1,HS_AAB_P2_750_5_5_H_S3_I2,HS_AAB_P2_750_5_5_H_S3_I3,HS_AAB_P2_750_5_5_H_S3_I4,HS_AAB_P2_750_5_5_H_S3_I5
629.9099585,-123.7830199,56.16741888,21.95447409,34.25553177,-4.013723877,-6.587794156,56.09548504,25.11967977,-10.89620954,7.736127276,4.227724883,32.86541262,127.3518954,81.64224089,-51.18239949,-41.22065174,-14.06157912,53.27135864,-2.277909332,82.23836578
634.5762419,-103.4134172,-265.3418921,-1.645487763,-85.97779985,-43.86576249,153.7877357,-24.89988716,149.2663504,30.19416425,84.39864219,165.2144842,36.46184354,136.9442786,105.6122189,-10.2609458,51.21806643,-2.934979928,8.113145655,27.18715448,79.77804266
639.2354312,-11.4832949,54.57694491,-20.52594125,38.06104758,30.91794087,109.9654523,101.1413665,2.983699431,13.65681964,87.72243853,-30.07387505,38.25126659,89.43925083,112.2579574,54.52116263,31.97689501,83.34993707,-0.544645771,63.31556546,104.8375958
643.887538,-38.16887394,77.42392459,15.72587873,-17.24156715,27.0380491,138.9067044,215.3538344,19.88196381,29.43496041,123.2360049,314.5293293,182.2594325,176.0313433,142.8219566,231.3869148,38.45797637,174.6863466,107.9782258,86.9442783,140.8725173
648.5325743,57.39238746,7.500891621,87.29295087,18.22042282,78.77221607,299.9633866,227.6321973,279.0150151,138.0199283,221.3425156,241.3314125,91.7492221,200.4349738,168.9682644,175.2540841,115.7083869,170.3414327,228.9859661,81.75177444,144.4795085
653.1705518,176.7593556,196.1765638,119.7933624,141.5529459,195.1250676,269.9479411,220.0444739,128.7434874,114.6238288,228.8898815,100.1282035,1.188977147,120.4585846,136.8277901,-69.24307875,83.71596312,72.93999901,167.8992908,52.39517605,115.0198397
657.8014823,43.68578598,-32.66551049,85.18273301,-51.60594626,62.89330703,184.5425313,111.4915818,134.9376006,-8.244823747,120.4967926,160.5268521,76.31353976,135.9300161,53.08121358,113.8585355,22.86159863,-13.48317047,23.07109861,27.36034585,92.94655306
662.4253775,41.93785595,149.7357217,32.35385944,-32.18365535,-12.95880568,186.5485977,233.3265108,24.36627538,22.17520139,70.8467633,6.682488911,72.66740075,143.736667,-12.98926469,15.68032189,-58.77241921,-10.51903764,1.214124717,31.38401591,96.81759468
667.0422493,172.2589862,70.34552155,6.959855046,47.35475825,119.2135266,224.3346,118.6783856,18.24029917,30.63529259,104.6342214,222.7403895,46.38255558,31.79164466,-8.78119492,107.8886298,-4.626958,52.21565223,56.59740019,60.37606192,104.3182697
671.6521092,47.24807504,-55.96977159,0.92230931,49.84480254,39.09499399,141.697386,15.44732278,47.31647684,89.15845746,72.85267517,-36.0536837,-23.6182251,-35.17992105,34.1898311,13.78771003,75.80967176,110.6575055,91.47369795,90.241365,105.253951
676.2549691,-65.09539053,47.65967713,-4.637991177,109.9302738,-61.6053506,21.18647365,111.8649923,1.761691887,167.3449485,-13.06289194,86.55718576,-8.295766228,49.30979306,51.30585792,32.67450302,48.58794722,137.8964476,118.179477,100.1865546,113.6950027
