Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4,AAB_AS_S1_I17
770.0074389,35.53736746,76.46086205,16.80894848,58.36517698
771.0651596,28.35871487,71.99,13.39788264,56.36468871
772.122691,23.54282152,63.58681245,15.50231849,57.34730555
773.1800332,21.39692056,53.72054072,24.95628238,59.15978942
774.2371862,22.07616566,46.40411269,20.03989247,57.22292678
775.29415,25.54498693,44.47869325,16.22994364,52.22047229
776.3509247,31.55616689,47.27947126,27.41057019,44.77417164
777.4075103,39.6635579,51.18,36.53695725,37.81311073
778.4639069,49.27120958,52.86199114,32.67252001,35.7981083
779.5201145,59.70442249,52.32,35.88352803,36.34879088
780.5761332,70.28203933,52.51920405,40.15,35.57058644
781.6319631,80.37771318,55.89078228,49.72543328,37.15168534
782.687604,89.46976297,61.28317791,60.73,40.02420133
783.7430562,97.1813656,64.48198243,62.96838724,34.40731361
784.7983196,103.3055805,61.88472038,56.35061159,22.98914818
785.8533943,107.8062921,53.87757924,52.50125386,19.44305594
786.9082804,110.7931134,45,38.38958564,25.89404692
787.9629778,112.4777525,40.63329934,24.77,31.55130151
789.0174867,113.1245477,42.72777635,47.87746053,29.3627275
790.071807,113.009536,48.46941509,45.32520033,26.49452312
791.1259389,112.3983073,53.26336349,29.35317956,29.98050246
792.1798823,111.5428096,54.99330547,29.6700668,35.33048082
793.2336373,110.6894044,54.99276382,20.63695987,40.43561027
794.287204,110.0909526,55.04987883,33.80844652,43.62022556
795.3405824,110.0193467,54.58417597,43.66,40.80410105
796.3937725,110.7727267,51.70351242,40.16528924,38.73913126
797.4467744,112.665938,46.47483971,51.20802155,39.36490284
798.4995882,115.9965871,41.89309775,57.48507643,37.25687106
799.5522138,120.9948349,41.37743184,59.08553851,35.68440487
800.6046513,127.7780533,45.94204696,66.92,28.63137237
801.6569008,136.3286665,54.0550643,76.76074325,16.49155967
802.7089623,146.4977852,63.69067652,75.14279228,16.72108962
803.7608359,158.023575,74.08382398,73.25020183,21.76266842
804.8125216,170.553719,85.70114091,72.35130412,21.64729595
805.8640194,183.6712819,98.93802347,70.48805982,23.87226867
806.9153294,196.9275632,113.2716449,78.22533258,22.40858788
807.9664516,209.8783318,127.9224415,64.1049604,16.45448265
809.0173861,222.1124998,142.8665884,53.96027738,15.40668064
810.068133,233.2672301,158.5904524,63.02280946,18.85545672
811.1186922,243.0351947,175.0412615,59.9186006,26.38126283
812.1690638,251.1733788,191.0723396,53.85277471,34.40660251
813.2192479,257.5163936,204.5469746,54.16841235,37.38788767
814.2692445,261.9900909,213.0735969,54.73568806,39.29948198
815.3190536,264.6182445,215.6789003,35.53011485,40.1430643
816.3686753,265.5146182,214.445264,11.4996189,35.70970504
817.4181097,264.8554441,213.7540026,-2.99,32.98223853
818.4673567,262.8363839,216.7071839,0.3,38.51356422
819.5164165,259.6292748,222.09,14.87490513,41.41263714
820.565289,255.3554092,225.3140078,23.32454293,32.80075944
821.6139743,250.0807919,222.367318,40.38834867,28.5564958
822.6624725,243.8267933,212.872559,51.58508054,34.17905911
823.7107836,236.5869689,199.7297317,67.66,35.42747604
824.7589077,228.3445404,186.6722364,74.38020545,35.93105547
825.8068447,219.0876433,176.0219589,63.00896827,38.55026021
826.8545948,208.8195196,167.651247,71.52432041,43.71903218
827.902158,197.5620459,159.4590228,77.055134,55.12582869
828.9495342,185.3546646,149.2100027,79.93,55.77401623
829.9967237,172.2534059,136.4462729,79.14320695,48.94177188
831.0437263,158.333118,123.0472415,75.75456298,53.99346283
832.0905423,143.6923072,112.0765797,73.69371119,59.52384929
833.1371715,128.4595652,105.4422271,66.62078499,60.31358291
834.1836141,112.8046983,101.9117058,88.15063113,65.85677139
835.22987,96.95843131,97.58879773,105.0956035,68.23288407
836.2759394,81.23481519,88.89806654,92.32835657,60.99257226
837.3218223,66.03908815,75.24953714,81.58,52.47660322
838.3675187,51.84538535,59.18652248,68.13576975,47.83696986
839.4130286,39.14339528,44.67016204,52.73556198,44.95205506
840.4583522,28.36755838,35.14469376,34.86032899,41.14161151
841.5034894,19.82863661,32.18901896,28.65503664,37.5213627
842.5484404,13.66647468,34.89711005,47.19851607,36.47308759
843.593205,9.836629973,40.09052667,52.24984496,35.41680295
844.6377835,8.133168886,43.43,58.74232149,28.40992731
845.6821758,8.238169833,41.46407058,82.21288253,20.25823028
846.726382,9.780179816,33.91451651,81.29574242,24.54936587
847.770402,12.38309113,24.3655329,72.97694095,28.40499006
848.8142361,15.69464027,17.76388823,86.7116109,20.29281478
849.8578842,19.39587807,16.81713428,85.51491359,20.40003825
850.9013463,23.2016458,20.84518985,82.94388088,22.83156672
851.9446225,26.86208578,27.55954389,89.13731771,17.6228204
852.9877128,30.16896107,35.0312321,83.65830117,19.87078238
854.0306174,32.96532318,41.98948791,97.42265706,20.22385768
