Wavelength,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3
641.7354335,26.09518223,85.42353089
642.8160067,20.70388231,80.87413315
643.8963851,15.54939354,77.1987637
644.9765687,10.78497834,74.16555142
646.0565577,6.652918343,71.4424173
647.136352,3.466462568,68.84146986
648.2159518,1.550513999,66.48991755
649.295357,1.15572277,64.85662247
650.3745677,2.380189363,64.59797298
651.453584,5.131993818,66.2300354
652.5324059,9.147899835,69.80136435
653.6110335,14.05807951,74.82679428
654.6894667,19.46616357,80.53435663
655.7677057,25.00908359,86.21005402
656.8457504,30.37396568,91.40207245
657.923601,35.27457605,95.89068029
659.0012575,39.41638887,99.47313146
660.07872,42.4898337,101.7653341
661.1559884,44.21040861,102.2592283
662.2330628,44.38267793,100.6208671
663.3099433,42.95121036,96.95610766
664.3866299,40.01903087,91.8448933
665.4631227,35.84696286,86.15335956
666.5394216,30.84221523,80.72266371
667.6155269,25.5305011,76.07266323
668.6914384,20.51296631,72.28694321
669.7671563,16.41798262,69.17224509
670.8426806,13.85561958,66.62363899
671.9180114,13.37034449,64.98017573
672.9931486,15.38648527,65.10937648
674.0680924,20.15448023,68.09842363
675.1428427,27.71540624,74.70879416
676.2173997,37.89570765,84.9287144
677.2917633,50.33428816,97.89341656
678.3659337,64.53863867,112.2147553
679.4399109,79.95912146,126.5170296
680.5136948,96.05956077,139.8837599
681.5872856,112.3588409,152.0291387
682.6606834,128.4279363,163.1508127
683.7338881,143.8451347,173.5145604
684.8068997,158.1340187,182.9791354
685.8797185,170.7238643,190.8110361
686.9523443,180.964133,195.9698615
688.0247773,188.1944454,197.6358156
689.0970174,191.8457811,195.5565964
690.1690648,191.5395014,189.9866015
691.2409195,187.1673482,181.3602741
692.3125815,178.9408899,170.0708812
693.3840508,167.3951116,156.5502234
694.4553276,153.3277895,141.4453729
695.5264119,137.6798669,125.6203654
696.5973036,121.3918161,109.9842713
697.6680029,105.2811555,95.27682802
698.7385099,89.97293244,81.89775587
699.8088244,75.89316335,69.88739772
700.8789467,63.31127821,59.12370682
701.9488767,52.3989897,49.59004929
703.0186145,43.27480625,41.46721941
704.0881601,36.02537068,34.97863987
705.1575136,30.71195777,30.16153817
706.226675,27.36754454,26.801482
707.2956444,25.98226988,24.60740143
708.3644218,26.47591899,23.46448331
709.4330073,28.66185953,23.53931905
710.5014009,32.21666066,25.19202942
711.5696026,36.67832575,28.7886271
712.6376126,41.48949988,34.45327998
713.7054308,46.08091715,41.79964869
714.7730573,49.97471008,49.8139696
715.8404921,52.88683931,57.08035247
716.9077353,54.80789029,62.34458937
717.974787,56.0305774,65.12437735
719.0416471,57.09294245,65.92052948
720.1083157,58.64383363,65.85633704
721.1747929,61.28868289,66.07482886
722.2410788,65.47753406,67.33640518
723.3071733,71.46053049,69.95912649
724.3730765,79.29867972,74.01014547
725.4387884,88.90174304,79.56234905
726.5043092,100.0680931,86.77561212
727.5696387,112.5146181,95.70050057
728.6347772,125.8964226,106.0009788
729.6997246,139.8226716,116.9063917
730.764481,153.8772158,127.4985273
731.8290465,167.6474223,137.1533635
732.893421,180.7532766,145.8278801
733.9576046,192.8603313,153.9680264
735.0215973,203.6664285,162.075626
736.0853993,212.8739379,170.2262811
737.1490106,220.174575,177.8320548
738.2124311,225.2658702,183.7520512
739.275661,227.8990125,186.7166536
740.3387003,227.9421362,185.9148643
741.401549,225.4321381,181.4288315
742.4642072,220.5881367,174.2133205
743.5266749,213.7821058,165.6128837
744.5889522,205.4934033,156.7334837
745.6510392,196.2781496,148.0728253
746.7129358,186.7544306,139.5903963
747.7746421,177.5784466,131.0672594
748.8361581,169.39357,122.4811151
749.897484,162.7565645,114.1981274
750.9586197,158.0596344,106.8847865
752.0195653,155.4706559,101.1797692
753.0803208,154.9060825,97.32563757
754.1408863,156.0371973,95.006607
755.2012619,158.3246177,93.50915918
756.2614475,161.0757716,92.09213192
757.3214432,163.5163832,90.2882577
758.3812492,164.8661766,87.90931509
759.4408653,164.4161324,84.7966095
760.5002916,161.6087781,80.62388993
761.5595283,156.114354,75.00443633
762.6185753,147.8814692,67.80962657
763.6774327,137.1504717,59.38739652
764.7361006,124.4193238,50.48365588
765.7945789,110.364086,41.93156263
766.8528678,95.73157269,34.34080915
767.9109672,81.23789283,27.96839979
768.9688772,67.50349955,22.76552405
770.0265979,55.03204904,18.5058509
771.0841294,44.21475967,14.9615988
772.1414715,35.33351356,12.11383666
773.1986245,28.54941814,10.26907512
774.2555883,23.88210113,9.902685011
775.312363,21.19556787,11.27171443
776.3689486,20.20844948,14.13659635
777.4253452,20.53430995,17.87588843
778.4815529,21.73620305,21.88414141
