Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4
887.305715,192.230991,57.03439223,58.2231846
888.3425122,194.8106153,64.51,62.05220792
889.3791251,196.1357826,72.88,69.86582263
890.4155537,196.1115241,80.5732374,69.94475249
891.4517981,194.6677171,87.03848955,62.08107267
892.4878583,191.7532258,92.48404658,64.5027399
893.5237344,187.3315621,97.15273564,63.10224241
894.5594263,181.3827179,100.8847035,62.81426223
895.5949342,173.9092317,102.7465201,64.50305499
896.630258,164.942516,101.0751805,73.83581005
897.6653979,154.5477295,94.53059716,85.16743161
898.7003538,142.8277222,83.40,81.32627338
899.7351259,129.9285527,69.75381502,76.8593576
900.7697141,116.0502502,56.55354215,74.7404152
901.8041185,101.4630505,46.58172675,75.44571239
902.8383391,86.5220628,41.41482132,65.15239782
903.872376,71.66988893,40.28776278,56.97155062
904.9062292,57.42181836,40.06258073,68.01354609
905.9398988,44.3365405,37.40,47.94491572
906.9733848,32.97794304,31.43184311,26.05172813
908.0066873,23.87050242,24.37384418,27.95072511
909.0398063,17.44940039,19.85970411,6.884561883
910.0727418,14.01035632,20.49825269,-7.18
911.1054938,13.67010069,25.86919538,9.010855607
912.1380626,16.34954811,32.69366828,30.52
913.1704479,21.78326947,37.82479369,41.75266262
914.20265,29.54668625,41.34230649,35.92301267
915.2346689,39.08937066,46.33978436,38.92543084
916.2665045,49.77099673,55.63662281,49.07729547
917.298157,60.90297596,68.73327373,55.26605651
918.3296264,71.79486538,81.69,70.9234675
919.3609127,81.79678968,89.85912007,75.78
920.392016,90.32784465,91.15926677,73.79
921.4229363,96.88843016,87.25479377,80.54948911
922.4536737,101.0657687,82.04189655,80.20
923.4842282,102.547043,78.88,61.42
924.5145998,101.1488515,78.68509254,57.27248547
925.5447886,96.85860458,80.18616205,64.1167456
926.5747946,89.87142904,81.41668353,46.77972911
927.6046179,80.60437116,80.73452363,40.80400614
928.6342585,69.67884853,77.10858472,41.14776535
929.6637165,57.87393154,70.87513714,31.43985081
930.6929919,46.05918896,64.22001731,14.8129387
931.7220847,35.11824323,59.69308586,7.473970415
932.750995,25.87520552,57.93060157,11.52058559
