Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
562.3243239,-4.658256107,21.54854184
563.4192432,-6.36548609,22.84587399
564.5139644,-6.674327405,26.18329273
565.6084873,-3.882679038,29.37109082
566.7028121,-0.313262964,32.05400148
567.7969388,1.933920285,37.76625047
568.8908675,6.61645336,50.3133698
569.9845981,17.05014558,67.75764485
571.0781308,26.46984481,82.73680604
572.1714656,26.88802568,89.8096098
573.2646026,21.8293367,89.92651425
574.3575417,20.4508297,87.3662282
575.4502831,25.76350411,85.14857447
576.5428267,33.30273975,84.08918858
577.6351727,38.67261331,83.68061065
578.7273211,42.52158631,82.43933828
579.8192719,46.16629945,79.32546089
580.9110251,49.00412535,75.68793524
582.0025809,51.13964523,73.33679193
583.0939393,50.73938315,70.62662329
584.1851003,43.69947354,63.93628786
585.276064,32.53546574,53.13713859
586.3668304,25.34906984,42.05471153
587.4573995,23.93260449,33.4838164
588.5477715,25.08249126,27.20111949
589.6379463,26.8833885,22.75784568
590.727924,27.58232192,20.96188419
591.8177047,28.90826721,22.36651973
592.9072884,33.46498475,26.49382555
593.9966751,38.99914893,32.77853761
595.085865,45.21494385,39.85913958
596.1748579,51.56373743,43.7344061
597.2636541,50.61995271,40.83147297
598.3522535,40.29569264,34.02192334
599.4406563,31.47378569,31.034524
600.5288623,34.74480514,35.64327312
601.6168717,45.75401867,43.6353309
602.7046846,50.08745441,48.22064629
603.7923009,44.59650605,46.81230888
604.8797208,39.86674303,41.52295807
605.9669443,37.18009019,35.42782103
607.0539713,27.70967821,30.42321332
608.1408021,15.0161737,27.29575552
609.2274365,9.279538584,26.12852071
610.3138748,6.513505387,27.47058385
611.4001168,0.949295596,33.49709366
612.4861627,-0.177767153,46.04309143
613.5720125,5.103736189,63.13750504
614.6576662,8.500594655,80.10667951
615.743124,11.0511795,94.4244658
616.8283858,19.60289182,106.7066035
617.9134517,30.61809494,117.0494809
618.9983217,33.83492235,123.4473149
620.082996,27.33196754,124.5958016
621.1674744,21.66642653,121.8046705
622.2517572,22.85690904,117.5052375
623.3358443,22.82258061,114.3870695
624.4197358,17.36563132,115.5838776
625.5034317,14.5777602,121.5151775
626.586932,17.36716878,126.5467764
627.6702369,16.98416637,123.2170191
628.7533464,9.976828638,110.2905026
629.8362605,3.677208345,93.24032366
630.9189792,0.013858926,77.50989369
632.0015027,-6.130460447,65.46416627
633.0838309,-10.50862341,58.81468058
634.1659639,-4.596598897,58.29461073
635.2479018,4.394369238,60.81290734
636.3296446,3.41720058,62.01051165
637.4111923,-1.338676671,61.78236389
638.492545,2.388133213,62.62223154
639.5737027,8.107265011,63.3521391
640.6546656,9.355740502,60.43084455
641.7354335,14.10518765,54.60471735
642.8160067,20.43966225,50.59242282
643.8963851,20.32099805,51.0409551
644.9765687,21.08847122,54.38282663
646.0565577,27.24311946,57.82673213
647.136352,30.27267947,60.34334348
648.2159518,27.38920338,62.51225076
649.295357,22.22096942,64.72196159
650.3745677,15.94721423,66.41494747
651.453584,10.32225482,66.30623182
652.5324059,7.453741485,63.51016037
653.6110335,4.911363558,59.62424824
654.6894667,1.133534349,57.98803498
655.7677057,-0.885065612,59.36133077
656.8457504,-2.657469845,61.50342188
657.923601,-4.659743142,64.34406017
659.0012575,1.714516106,70.15311155
660.07872,12.64864158,76.88795618
661.1559884,11.87330735,78.33159561
662.2330628,4.191467877,73.02243864
663.3099433,4.766601785,66.31859988
664.3866299,7.353219604,62.1022669
665.4631227,4.539216054,58.78840856
666.5394216,5.535790332,54.72832202
667.6155269,11.13844157,51.58473076
668.6914384,12.92384824,50.59792894
669.7671563,13.84741255,49.20503668
670.8426806,16.2141987,43.18711456
671.9180114,12.0202476,31.74030907
672.9931486,1.449086584,19.42182773
674.0680924,-4.58899246,11.81175574
675.1428427,-2.024243775,10.27143087
676.2173997,3.525510457,12.67970033
677.2917633,7.29743244,17.42065966
678.3659337,9.420687264,24.37762708
679.4399109,13.12290858,33.10096255
680.5136948,20.76170567,41.05767917
681.5872856,26.48212308,44.33637417
682.6606834,22.09794193,42.23891956
