Wavelength,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3
783.7597579,95.8559354,56.07311786,151.2596268
784.8148327,95.67828699,59.2746586,145.7251431
785.8697187,92.48031576,60.85472191,132.0989185
786.9244161,88.84720291,63.49236285,108.1620976
787.978925,87.93474168,72.10954765,101.4302017
789.0332454,86.04160115,83.05881179,89.30215588
790.0873772,78.2487954,87.4623818,78.25078299
791.1413206,68.21443596,83.43170285,68.88840389
792.1950757,64.42423813,78.16304897,52.07412041
793.2486423,69.17748255,79.49736227,48.4731425
794.3020207,76.78348108,88.29851853,47.81244544
795.3552108,80.57603445,98.21947161,42.91921512
796.4082127,77.07993746,101.9012926,47.95692859
797.4610265,68.96917206,98.60346038,41.75082448
798.5136521,64.54118249,94.663088,25.28097212
799.5660896,65.94845342,94.04913479,33.10615109
800.6183391,64.8506195,92.21595662,43.27629072
801.6704006,55.70978646,82.77622915,37.47826721
802.7222742,43.29276076,66.58931462,33.85508896
803.7739599,35.84630396,51.52117432,25.14130649
804.8254577,35.29659222,43.41634092,20.63490658
805.8767677,34.34731182,39.11306802,30.18476493
806.9278899,26.94864545,33.58903245,21.06625421
807.9788245,17.24633916,29.9640579,10.67874302
809.0295713,12.1656825,32.64372117,12.23880042
810.0801305,12.95595849,38.15631843,10.00816187
811.1305021,16.73151643,42.97149236,14.64935259
812.1806862,21.18959698,49.9380677,16.62661497
813.2306828,24.88573708,58.52796956,20.78035944
814.2804919,22.47843067,59.93773401,28.69063859
815.3301136,10.41544604,50.23639788,14.36578168
816.379548,-0.829198249,39.51936774,1.062568689
817.428795,1.840691139,41.00098139,13.17241794
818.4778548,13.97461746,56.8893911,25.68231613
819.5267273,23.25921172,78.88017724,40.75238377
820.5754126,28.62758535,97.63557426,58.58502448
821.6239108,35.46296093,108.9697752,66.78768403
822.6722219,42.97710658,113.5858559,75.67469412
823.720346,45.26769543,114.0273865,79.51469695
824.768283,41.48761372,112.7111399,81.42991683
825.8160331,38.90983299,111.360177,86.42894695
826.8635963,41.64764619,110.9146441,89.7034026
827.9109725,44.60627828,112.0649179,89.49652308
828.958162,43.85842265,114.5110159,84.86992402
830.0051647,41.44506747,115.7127498,81.48358845
831.0519806,40.79325207,115.0290654,72.61573636
832.0986098,46.46849725,118.2295458,66.70678756
833.1450524,58.52578741,129.2497799,77.54453362
834.1913083,66.66116824,140.1057999,82.39186131
835.2373777,64.1281355,140.0782724,65.49785923
836.2832606,57.9429703,129.5035339,50.3043139
837.328957,53.91259087,114.4088099,35.78539223
838.3744669,46.82584613,96.57512811,20.07929071
839.4197905,34.43148906,77.98554575,3.099393443
840.4649277,26.35703985,65.67978336,-15.75512491
841.5098787,29.40050195,64.80032497,-5.951598798
842.5546433,37.54241725,73.58475014,1.033088485
843.5992218,44.58422326,86.75513001,3.259176696
844.6436141,51.17248809,97.56586299,17.10842489
845.6878203,55.9548722,100.0975535,13.37386142
846.7318404,54.92166577,95.68823208,4.212037066
847.7756744,49.02174847,92.1279705,5.973682363
848.8193225,42.95535423,92.99957457,10.48642261
849.8627846,38.83194084,93.37607833,16.01467348
850.9060608,36.06156794,88.66650996,20.67190596
851.9491512,34.26392617,82.09334452,13.71760934
852.9920557,32.21848514,79.50559535,16.50499665
854.0347745,28.58040586,81.42761078,18.35821407
855.0773075,25.68640718,84.34896192,20.6874735
856.1196549,26.56239679,86.44735227,32.52211242
857.1618166,28.93199925,87.99720208,34.88610339
858.2037927,26.31004078,87.52008671,37.42460127
859.2455833,16.45080862,82.59649173,22.84752153
860.2871883,7.306557436,74.61236086,16.41384715
861.3286079,6.010812584,66.49285414,22.69590292
862.3698421,5.546134832,57.60214939,14.88271972
863.4108909,-2.403102685,47.43630677,15.26327322
864.4517544,-10.62937104,39.83647448,13.0453418
865.4924326,-9.916371916,37.48760569,17.97787061
866.5329255,-4.61414215,37.37864392,27.80970023
867.5732333,-0.487938039,36.18564047,23.98275809
868.6133559,4.252178016,34.93847513,29.08455287
869.6532933,9.48583587,35.64795973,29.97388751
870.6930457,11.94098595,38.03651385,30.20894719
871.7326131,11.91342866,40.07269765,36.04219551
872.7719955,11.58071998,38.33893462,42.05867043
873.811193,11.70183611,30.58282646,46.44803769
874.8502055,12.12548717,20.31593927,33.13773906
875.8890333,11.64286167,13.8391349,28.81791561
876.9276762,9.602563094,12.50052734,29.11992869
877.9661343,7.981952077,13.26586365,24.82436403
879.0044077,7.888007285,13.88078334,28.1318923
880.0424965,7.971900179,13.65453326,29.15982991
881.0804006,9.479579468,13.68861051,26.46526492
882.1181201,14.53566478,16.23364063,29.00812398
883.1556551,17.78085334,20.34183289,38.22004509
884.1930056,13.04225384,22.81148205,38.88468929
885.2301717,7.321315794,24.22350583,44.82527924
886.2671533,9.830697873,26.35081777,54.19772465
887.3039505,14.84331646,26.98479158,57.93220424
888.3405634,15.11326934,25.04598587,65.19611473
889.3769921,16.4603164,24.19633723,61.03551992
890.4132365,24.1925607,26.18153281,56.78998088
