Wavelength,AAB_AS_S1_I17
1374.068962,14.17291433
1373.117369,17.63576226
1372.165612,19.77616299
1371.213689,27.74634628
1370.261602,34.85920182
1369.30935,41.81098975
1368.356933,43.98613081
1367.404352,40.63263326
1366.451605,46.87849258
1365.498694,50.73475197
1364.545617,42.06717471
1363.592376,38.90077933
1362.638969,41.83200164
1361.685398,41.10920709
1360.731661,39.98708766
1359.777759,42.78520329
1358.823692,48.45096135
1357.86946,48.93508703
1356.915063,41.57932212
1355.9605,32.82191733
1355.005772,24.80520945
1354.050878,22.96732836
1353.095819,29.5372363
1352.140595,34.87481216
1351.185205,37.00526979
1350.22965,38.08681714
1349.273929,38.41890194
1348.318042,40.58581998
1347.36199,42.23581563
1346.405772,40.84986735
1345.449389,35.92001009
1344.492839,30.33706558
1343.536124,29.00932455
1342.579243,30.61288889
1341.622196,36.24769515
1340.664984,44.55971383
1339.707605,50.53426632
1338.75006,55.89629239
1337.79235,56.08189022
1336.834473,50.22859735
1335.87643,50.63348206
1334.918222,53.78672147
1333.959846,54.423019
1333.001305,63.60783816
1332.042598,72.10475728
1331.083724,70.26380798
1330.124684,73.5067363
1329.165477,79.82789392
1328.206104,80.83144664
1327.246565,80.85062101
1326.286859,77.77059379
1325.326987,72.84261177
1324.366948,65.09641078
1323.406743,54.19421182
1322.446371,49.83259388
1321.485832,45.85527692
1320.525127,41.11496793
1319.564255,45.39207363
1318.603216,43.0408185
1317.64201,29.89329075
1316.680638,24.6941575
1315.719099,21.89696235
1314.757392,11.27074049
1313.795519,2.995947374
1312.833479,3.612152938
1311.871271,10.2767075
1310.908897,20.45473362
1309.946356,28.20843408
1308.983647,27.78803699
1308.020771,25.77926269
1307.057728,32.48905138
1306.094518,42.17998865
1305.13114,44.78058691
1304.167595,48.27660045
1303.203883,55.71858385
1302.240003,54.91475111
1301.275956,52.50886294
1300.311741,59.06777557
1299.347359,62.26293613
1298.382809,57.99790163
1297.418092,54.11379669
1296.453207,45.31313918
1295.488154,31.81200994
1294.522934,26.61278993
1293.557545,29.0308166
1292.591989,26.8682424
1291.626265,19.82661757
1290.660374,17.12899527
1289.694314,15.24057851
1288.728086,15.67742065
1287.761691,29.97851695
1286.795127,40.46207106
1285.828396,36.37708949
1284.861496,39.26207209
1283.894428,51.77782759
1282.927192,61.90954134
1281.959787,67.45501971
1280.992215,73.34426848
1280.024474,81.62945623
1279.056565,85.54403468
1278.088487,89.48547485
1277.120241,96.32707164
1276.151827,91.7675751
1275.183244,77.23751538
1274.214492,67.64346197
1273.245572,64.85818469
1272.276484,64.69603458
1271.307226,63.74309753
1270.3378,58.43887615
1269.368206,52.0936482
1268.398442,52.02457804
1267.42851,50.55693458
1266.458409,42.63126549
1265.488139,50.28678551
1264.5177,66.82835464
1263.547092,60.67588675
1262.576316,50.77855466
1261.60537,54.50049965
1260.634255,54.81887244
1259.662971,56.7035597
1258.691518,64.87439776
1257.719896,74.4368047
1256.748104,87.07975131
1255.776143,92.83100911
1254.804013,91.13510371
1253.831714,88.00189025
1252.859245,79.85427343
1251.886607,76.0981876
1250.913799,79.87351223
1249.940822,78.75411562
1248.967675,73.48774054
1247.994359,71.05176631
1247.020873,72.97462362
1246.047217,78.73422499
1245.073392,80.53092464
1244.099397,71.84662013
1243.125233,63.80529869
1242.150898,59.71836557
1241.176394,45.77917582
1240.20172,32.31907497
1239.226875,30.11063541
1238.251861,23.94569639
