#Wave,#Intensity
1434.86526476226,16015
1433.92397104023,16041
1432.9825149758,15949
1432.04089653245,16033
1431.09911567366,16036
1430.15717236287,16047
1429.21506656351,15995
1428.27279823902,15703
1427.33036735281,15721
1426.3877738683,15706
1425.44501774886,15623
1424.5020989579,15570
1423.55901745876,15572
1422.61577321482,15520
1421.67236618943,15396
1420.72879634591,15197
1419.78506364761,15186
1418.84116805781,15342
1417.89710953984,15413
1416.95288805699,15039
1416.00850357252,15134
1415.06395604971,15169
1414.11924545182,15181
1413.17437174208,15364
1412.22933488374,15361
1411.28413484001,15141
1410.33877157411,15217
1409.39324504923,15133
1408.44755522856,15479
1407.50170207527,15464
1406.55568555254,15402
1405.60950562351,15237
1404.66316225132,15442
1403.71665539911,15388
1402.76998502999,15438
1401.82315110707,15488
1400.87615359344,15536
1399.92899245218,15745
1398.98166764638,15410
1398.03417913908,15573
1397.08652689334,15614
1396.13871087219,15806
1395.19073103867,16091
1394.24258735578,16068
1393.29427978652,16107
1392.34580829389,16115
1391.39717284087,16134
1390.44837339042,16353
1389.4994099055,16323
1388.55028234906,16532
1387.60099068402,16302
1386.65153487331,16047
1385.70191487983,16369
1384.75213066649,16146
1383.80218219618,16430
1382.85206943175,16291
1381.90179233609,16135
1380.95135087204,15906
1380.00074500244,16003
1379.04997469011,16027
1378.09903989788,15975
1377.14794058855,16107
1376.19667672491,16019
1375.24524826975,15774
1374.29365518583,15880
1373.34189743591,15770
1372.38997498274,15955
1371.43788778905,16084
1370.48563581756,15894
1369.53321903099,15969
1368.58063739204,15645
1367.62789086339,15939
1366.67497940772,15951.2468193368
1365.7219029877,15963.4957587957
1364.76866156597,15975.7468188567
1363.81525510518,15988
1362.86168356796,15810
1361.90794691692,15756
1360.95404511467,15961
1359.99997812381,15934
1359.04574590691,15812
1358.09134842655,15802
1357.13678564529,15971
1356.18205752567,15956
1355.22716403023,16034
1354.27210512149,16033
1353.31688076196,16069
1352.36149091415,15858
1351.40593554054,15921
1350.4502146036,15769
1349.49432806582,16036
1348.53827588962,16057
1347.58205803746,16108
1346.62567447176,15883
1345.66912515495,16121
1344.71241004942,15858
1343.75552911758,15937
1342.7984823218,16112
1341.84126962445,16028
1340.88389098789,16255
1339.92634637448,16187
1338.96863574653,16176
1338.01075906638,16208
1337.05271629634,16261
1336.0945073987,16245
1335.13613233575,16361
1334.17759106977,16128
1333.21888356302,16122
1332.26000977775,16167
1331.3009696762,16174
1330.34176322061,16346
1329.38239037317,16134
1328.42285109611,16248
1327.46314535161,16003
1326.50327310185,16086
1325.543234309,15945
1324.58302893521,16064
1323.62265694264,15951
1322.66211829341,15832
1321.70141294963,15768
1320.74054087343,15900
1319.7795020269,15752
1318.81829637212,15717
1317.85692387117,15645
1316.89538448611,15756
1315.93367817898,15908
1314.97180491182,15464
1314.00976464666,15582
1313.04755734551,15737
1312.08518297037,15777
1311.12264148323,15756
1310.15993284607,15600
1309.19705702085,15647
1308.23401396952,15821
1307.27080365404,15802
1306.30742603631,15753
1305.34388107827,15603
1304.38016874182,15715
1303.41628898885,15688
1302.45224178124,15769
1301.48802708086,15674
1300.52364484957,15790
1299.55909504921,15825
1298.59437764162,15607
1297.62949258862,15652
1296.664439852,15654
1295.69921939358,15405
1294.73383117514,15775
1293.76827515845,15686
1292.80255130527,15592
1291.83665957734,15834
1290.87059993641,15558
1289.9043723442,15759
1288.93797676242,15492
1287.97141315277,15858
1287.00468147694,15585
1286.0377816966,15688
1285.07071377343,15454
1284.10347766907,15462
1283.13607334515,15532
1282.16850076332,15568
1281.20075988518,15364
1280.23285067234,15422
1279.26477308638,15528
1278.29652708889,15389
1277.32811264144,15568
1276.35952970557,15336
1275.39077824284,15453
1274.42185821477,15447
1273.45276958287,15397
1272.48351230867,15296
1271.51408635364,15556
1270.54449167927,15313
1269.57472824704,15477
1268.6047960184,15283
1267.63469495478,15314
1266.66442501764,15320
1265.69398616838,15438
1264.72337836842,15400
1263.75260157916,15304
1262.78165576196,15358
1261.81054087822,15412
1260.83925688929,15154
1259.86780375651,15428
1258.89618144122,15201
1257.92438990475,15091
1256.9524291084,15094
1255.98029901347,15164
1255.00799958126,15002
1254.03553077303,14977
1253.06289255004,15021
1252.09008487355,15206
1251.1171077048,14983
1250.143961005,15016
1249.17064473537,15096
1248.19715885711,15162
1247.22350333141,15125
1246.24967811945,15250
1245.27568318238,14997
1244.30151848136,15156
1243.32718397753,15085
1242.35267963201,15190
1241.37800540593,15049
1240.40316126038,15058
1239.42814715644,15156
1238.45296305521,15026
1237.47760891773,15082
1236.50208470507,15222
1235.52639037827,14944
1234.55052589835,14980
1233.57449122633,15154
1232.59828632322,15093
1231.62191114999,15134
1230.64536566764,14915
1229.66864983713,14888
1228.69176361941,14816
1227.71470697542,14935
1226.73747986609,14793
1225.76008225235,14842
1224.78251409508,14846
1223.80477535519,14698
1222.82686599355,14615
1221.84878597104,14821
1220.8705352485,14708
1219.89211378677,14769
1218.9135215467,14555
1217.93475848909,14592
1216.95582457474,14480
1215.97671976446,14701
1214.99744401902,14429
1214.01799729919,14596
1213.03837956572,14670
1212.05859077935,14606
1211.07863090083,14460
1210.09849989085,14313
1209.11819771014,14438
1208.13772431937,14401
1207.15707967924,14497
1206.17626375041,14321
1205.19527649353,14550
1204.21411786925,14376
1203.23278783819,14739
1202.25128636098,14676
1201.26961339822,14510
1200.2877689105,14551
1199.3057528584,14523
1198.3235652025,14625
1197.34120590334,14555
1196.35867492146,14697
1195.3759722174,14801
1194.39309775168,14777
1193.4100514848,14679
1192.42683337725,14645
1191.4434433895,14814
1190.45988148204,14824
1189.47614761531,14695
1188.49224174975,14726
1187.5081638458,14584
1186.52391386387,14744
1185.53949176436,14737
1184.55489750767,14717
1183.57013105418,14655
1182.58519236424,14592
1181.60008139823,14622
1180.61479811646,14582
1179.62934247929,14759
