#Wave,#Intensity
1579.60084358282,29863
1578.68474867889,29901
1577.76849706328,29531
1576.85208870122,29438
1575.93552355792,29314
1575.01880159859,29545
1574.10192278841,29781
1573.18488709257,29868
1572.26769447622,29731
1571.35034490453,29533
1570.43283834265,29237
1569.51517475572,29572
1568.59735410886,29985
1567.67937636717,29810
1566.76124149579,29879
1565.84294945978,29779
1564.92450022424,30068
1564.00589375424,29621
1563.08713001483,29720
1562.16820897108,30075
1561.24913058802,30092
1560.32989483067,30010
1559.41050166406,29582
1558.49095105319,29822
1557.57124296306,29713
1556.65137735865,29979
1555.73135420495,30281
1554.81117346691,30274
1553.89083510948,29835
1552.97033909761,29769
1552.04968539623,30017
1551.12887397026,30201
1550.20790478461,30116
1549.28677780418,30128
1548.36549299386,30168
1547.44405031851,29975
1546.52244974302,29780
1545.60069123223,29927
1544.67877475099,30090
1543.75670026413,30366
1542.83446773648,30180
1541.91207713284,29932
1540.98952841802,29955
1540.06682155681,30231
1539.14395651398,30217
1538.22093325431,30425
1537.29775174254,30424
1536.37441194344,30298
1535.45091382173,29896
1534.52725734213,30216
1533.60344246936,30362
1532.67946916813,30488
1531.75533740312,30184
1530.83104713902,30164
1529.90659834049,30120
1528.9819909722,30062
1528.05722499878,29861
1527.13230038489,30457
1526.20721709514,30698
1525.28197509414,30219
1524.35657434651,30210
1523.43101481683,30151
1522.5052964697,30237
1521.57941926967,30344
1520.65338318131,30664
1519.72718816916,30551
1518.80083419777,30486
1517.87432123167,30308
1516.94764923536,30157
1516.02081817335,30635
1515.09382801015,31108
1514.16667871022,30948
1513.23937023804,30563
1512.31190255807,30603
1511.38427563478,30453
1510.45648943258,30768
1509.52854391591,30492
1508.60043904918,30855
1507.67217479681,30879
1506.74375112318,30742
1505.81516799269,30599
1504.88642536969,30539
1503.95752321856,30988
1503.02846150364,31154
1502.09924018928,31187
1501.16985923979,31001
1500.24031861951,30712
1499.31061829273,31093
1498.38075822375,31173
1497.45073837685,31373
1496.52055871631,31675
1495.59021920639,31424
1494.65971981133,31158
1493.72906049539,31237
1492.79824122277,31661
1491.86726195772,31704
1490.93612266442,31946
1490.00482330707,31849
1489.07336384987,31654
1488.14174425697,31779
1487.20996449255,31753
1486.27802452075,32195
1485.34592430571,32515
1484.41366381156,32604
1483.48124300242,32459
1482.54866184239,32355
1481.61592029556,32566
1480.68301832603,32944
1479.74995589786,33478
1478.81673297512,33498
1477.88334952184,33265
1476.94980550208,33454
1476.01610087987,33738
1475.0822356192,33820
1474.1482096841,34647
1473.21402303856,35050
1472.27967564655,35045
1471.34516747205,35073
1470.41049847902,35124
1469.47566863141,35507
1468.54067789315,36518
1467.60552622818,36540
1466.6702136004,36777
1465.73473997374,36892
1464.79910531206,36827
1463.86330957926,37346
1462.92735273921,37672
1461.99123475576,38023
1461.05495559277,38171
1460.11851521407,38215
1459.18191358348,37968
1458.24515066482,38175
1457.3082264219,38622
1456.3711408185,38719
1455.43389381841,38803
1454.49648538539,38779
1453.5589154832,38727
1452.62118407558,38715
1451.68329112628,39002
1450.74523659902,39455
1449.8070204575,39753
1448.86864266543,39497
1447.9301031865,38852
1446.99140198438,38775
1446.05253902276,38460
1445.11351426527,38496
1444.17432767556,38702
1443.23497921727,38207
1442.29546885402,37672
1441.35579654942,37219
1440.41596226707,37407
1439.47596597055,37307
1438.53580762345,37282
1437.59548718932,36884
1436.65500463172,36410
1435.7143599142,35852
1434.77355300028,36098
1433.83258385348,35764
1432.89145243731,35529
1431.95015871527,35281
1431.00870265084,34807
1430.0670842075,34217
1429.12530334871,34275
1428.18336003791,34323
1427.24125423855,34037
1426.29898591407,34268
1425.35655502786,33785
1424.41396154334,33406
1423.47120542391,33314
1422.52828663294,33578
1421.58520513381,33470
1420.64196088987,33750
1419.69855386447,33587
1418.75498402096,33013
1417.81125132265,33204
1416.86735573286,33445
1415.92329721489,33463
1414.97907573203,33519
1414.03469124756,33285
1413.09014372475,33425
1412.14543312686,33153
1411.20055941712,33104
1410.25552255878,33156
1409.31032251505,33590
1408.36495924915,33579
1407.41943272427,33359
1406.4737429036,33054
1405.52788975032,33171
1404.58187322758,33519
1403.63569329856,33756
1402.68934992637,33788
1401.74284307415,33866
1400.79617270503,33545
1399.84933878211,33303
1398.90234126848,33666
1397.95518012723,34040
1397.00785532142,34229
1396.06036681412,34006
1395.11271456839,33738
1394.16489854724,33979
1393.21691871372,34263
1392.26877503082,34458
1391.32046746157,34564
1390.37199596894,34626
1389.42336051592,34376
1388.47456106547,34120
1387.52559758055,34521
1386.5764700241,34959
1385.62717835906,35144
1384.67772254835,35657
1383.72810255488,35021
1382.77831834154,34874
1381.82836987122,35500
1380.8782571068,35718
1379.92798001114,35755
1378.97753854708,35997
1378.02693267748,35455
1377.07616236516,35365
1376.12522757293,35324
1375.1741282636,35794
1374.22286439996,35757
1373.2714359448,35983
1372.31984286087,35693
1371.36808511095,35529
1370.41616265778,35922
1369.46407546409,35988
1368.5118234926,36573
1367.55940670604,36196
1366.60682506709,35743
1365.65407853843,36090
1364.70116708277,35665
1363.74809066274,36309
1362.79484924101,36489
1361.84144278023,36354
1360.887871243,36360
1359.93413459196,35906
