#Wavelength,#Intensity
1937.670309,23804
1936.285795,23493
1934.901009,23498
1933.515948,23761
1932.130615,23600
1930.745007,23644
1929.359126,23731
1927.972972,23737
1926.586543,23583
1925.199841,23594
1923.812865,23878
1922.425614,23651
1921.03809,23551
1919.650291,23507
1918.262219,23866
1916.873872,23704
1915.48525,23507
1914.096354,23586
1912.707184,23649
1911.317739,23561
1909.928019,23591
1908.538025,23813
1907.147755,23701
1905.757211,23768
1904.366392,23834
1902.975298,23579
1901.583928,23656
1900.192284,23676
1898.800364,23897
1897.408169,23597
1896.015699,23394
1894.622953,23577
1893.229931,23571.50272
1891.836634,23566.00435
1890.443061,23560.5049
1889.049212,23555.00435
1887.655088,23549.50272
1886.260688,23544
1884.866011,23716
1883.471059,23573
1882.07583,23616
1880.680325,23551
1879.284544,23557
1877.888487,23512
1876.492153,23716
1875.095542,23735
1873.698655,23436
1872.301492,23351
1870.904051,23588
1869.506334,23570
1868.10834,23653
1866.710069,23716
1865.311521,23403
1863.912696,23468
1862.513593,23490
1861.114214,23368
1859.714557,23495
1858.314623,23379
1856.914411,23288
1855.513921,23296
1854.113155,23409
1852.71211,23300
1851.310787,23377
1849.909187,23380
1848.507309,23270
1847.105153,23505
1845.702719,23196
1844.300006,23499
1842.897016,23246
1841.493747,23292
1840.090199,23429
1838.686374,23104
1837.282269,23429
1835.877887,23157
1834.473225,23316
1833.068285,23059
1831.663066,23449
1830.257568,22993
1828.851791,23178
1827.445735,22823
1826.0394,23059
1824.632786,23290
1823.225893,23163
1821.81872,23049
1820.411268,23209
1819.003536,23246
1817.595525,23121
1816.187234,23097
1814.778663,23118
1813.369813,23030
1811.960683,23241
1810.551272,22955
1809.141582,22916
1807.731612,23073
1806.321362,23230
1804.910831,22930
1803.50002,22948
1802.088929,23262
1800.677557,23283
1799.265904,23150
1797.853971,23028
1796.441758,23216
1795.029263,23107
1793.616488,23249
1792.203432,23204
1790.790095,22963
1789.376476,23148
1787.962577,23165
1786.548396,23128
1785.133935,23050
1783.719191,23362
1782.304167,23189
1780.88886,23239
1779.473273,23318
1778.057403,23154
1776.641252,23152
1775.224819,23047
1773.808104,23254
1772.391107,23233
1770.973828,23075
1769.556267,23165
1768.138424,23161
1766.720298,23204
1765.30189,23265
1763.8832,23040
1762.464227,23127
1761.044972,23159
1759.625434,23313
1758.205613,23322
1756.785509,23287
1755.365123,23031
1753.944453,22822
1752.523501,23006
1751.102265,22959
1749.680746,23111
1748.258944,23063
1746.836859,22902
1745.41449,23081
1743.991838,22921
1742.568902,22657
1741.145682,22929
1739.722179,22937
1738.298392,22955
1736.874321,22930
1735.449966,22966
1734.025327,22806
1732.600404,22863
1731.175197,22536
1729.749705,22870
1728.32393,23011
1726.897869,22950
1725.471525,22755
1724.044895,22788
1722.617981,22882
1721.190783,22619
1719.763299,22753
1718.335531,22688
1716.907478,22702
1715.479139,22698
1714.050516,22773
1712.621607,22808
1711.192414,22564
1709.762934,22749
1708.33317,22814
1706.90312,22813
1705.472784,22505
1704.042163,22821
1702.611256,22760
1701.180063,22610
1699.748584,22590
1698.31682,22733
1696.884769,22716
1695.452432,22601
1694.019809,22698
1692.5869,22523
1691.153705,22690
1689.720223,22964
1688.286454,22866
1686.852399,22770
1685.418057,22945
1683.983429,22908
1682.548514,22819
1681.113312,22769
1679.677823,23221
1678.242046,22729
1676.805983,22935
1675.369633,22836
1673.932995,23235
1672.49607,22969
1671.058858,23106
1669.621358,23385
1668.18357,23240
1666.745495,23361
1665.307132,23166
1663.868481,23167
1662.429542,23161
1660.990316,23142
1659.550801,23257
1658.110998,23301
1656.670907,23390
1655.230528,23368
1653.78986,23285
1652.348904,23559
1650.90766,23380
1649.466126,23293
1648.024305,23212
1646.582194,23255
1645.139794,23311
1643.697106,23520
1642.254129,23358
1640.810862,23494
1639.367307,23406
1637.923462,23031
1636.479328,23322
1635.034904,23593
1633.590191,23345
1632.145189,23337
1630.699897,23305
1629.254315,23152
1627.808443,23192
1626.362282,23383
1624.91583,23161
1623.469089,23130
1622.022058,23069
1620.574736,23264
1619.127124,23414
1617.679222,23029
1616.231029,23131
1614.782546,23204
1613.333773,22996
1611.884708,23318
1610.435353,23075
1608.985707,23297
1607.535771,23169
1606.085543,23199
1604.635024,23022
1603.184215,23074
1601.733114,23055
1600.281721,22947
1598.830038,22991
1597.378063,23113
1595.925796,23198
1594.473238,23040
1593.020388,23034
1591.567246,23074
1590.113813,23133
